year,Inv_per_mod_Area,inv_eff,inv_degradation,inv_lifetime,inv_MFG_eff,inv_Repair,inv_MerchantTail,inv_EOL_collection_eff,inv_EOL_pg0_resell,inv_EOL_pg1_landfill,inv_EOL_pg2_stored,inv_EOL_pg3_reMFG,inv_EOL_pg4_recycled,inv_EOL_reMFG_yield,inv_EOL_sp_reMFG_recycle,inv_EOL_pb1_landfill,inv_EOL_pb2_stored,inv_EOL_pb3_reMFG,inv_EOL_pb4_recycled
year,W/inv,%,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1995,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
1996,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
1997,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
1998,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
1999,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
2000,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
2001,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
2002,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
2003,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
2004,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
2005,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
2006,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
2007,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
2008,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
2009,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
2010,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
2011,500000,90,0.75,10,100,50,0,100,0,100,0,0,0,90,100,100,0,0,0
2012,500000,91,0.75,10,100,50,0,100,5,100,0,0,0,90,100,100,0,0,0
2013,500000,91,0.75,10,100,50,0,100,5,100,0,0,0,90,100,100,0,0,0
2014,500000,92,0.75,10,100,50,0,100,5,100,0,0,0,90,100,100,0,0,0
2015,500000,92,0.75,10,100,50,0,100,5,100,0,0,0,90,100,100,0,0,0
2016,500000,93,0.75,10,100,50,0,100,15,100,0,0,0,90,100,100,0,0,0
2017,500000,93,0.75,10,100,50,0,100,15,100,0,0,0,90,100,100,0,0,0
2018,500000,94,0.75,10,100,50,0,100,15,100,0,10,0,90,100,100,0,10,0
2019,500000,94,0.75,10,100,50,0,100,15,100,0,10,0,90,100,100,0,10,0
2020,500000,95,0.75,10,100,50,0,100,15,100,0,10,0,90,100,100,0,10,0
2021,500000,95,0.75,10,100,50,0,100,15,100,0,10,0,90,100,100,0,10,0
2022,500000,96,0.6,10,100,50,0,100,15,100,0,10,0,90,100,100,0,10,0
2023,500000,96,0.6,10,100,50,0,100,15,100,0,10,0,90,100,100,0,10,0
2024,500000,96,0.6,10,100,50,0,100,15,100,0,10,0,90,100,100,0,10,0
2025,500000,96,0.6,10,100,50,0,100,15,100,0,10,0,90,100,100,0,10,0
2026,500000,96,0.6,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2027,500000,96,0.6,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2028,500000,96,0.6,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2029,500000,96,0.6,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2030,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2031,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2032,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2033,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2034,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2035,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2036,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2037,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2038,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2039,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2040,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2041,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2042,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2043,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2044,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2045,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2046,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2047,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2048,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2049,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
2050,500000,96,0.5,10,100,50,0,100,15,100,0,20,0,90,100,100,0,20,0
