year,Inv_per_mod_Area,inv_eff,inv_reliability_t50,inv_reliability_t90,inv_degradation,inv_lifetime,inv_MFG_eff,inv_Repair,inv_MerchantTail,inv_EOL_collection_eff,inv_EOL_pg0_resell,inv_EOL_pg1_landfill,inv_EOL_pg2_stored,inv_EOL_pg3_reMFG,inv_EOL_pg4_recycled,inv_EOL_reMFG_yield,inv_EOL_sp_reMFG_recycle,inv_EOL_pb1_landfill,inv_EOL_pb2_stored,inv_EOL_pb3_reMFG,inv_EOL_pb4_recycled
year,inv/m2,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1995,,90,,,0.75,10,95,75,0,100,0,100,0,0,0,90,100,100,0,0,0
1996,,90,,,0.75,10,95,75,0,100,0,100,0,0,0,90,100,100,0,0,0
1997,,90,,,0.75,10,95,75,0,100,0,100,0,0,0,90,100,100,0,0,0
1998,,90,,,0.75,10,95,75,0,100,0,100,0,0,0,90,100,100,0,0,0
1999,,90,,,0.75,10,95,75,0,100,0,100,0,0,0,90,100,100,0,0,0
2000,,90,,,0.75,10,95,75,0,100,0,100,0,0,0,90,100,100,0,0,0
2001,,90,,,0.75,10,95,75,0,100,0,100,0,0,0,90,100,100,0,0,0
2002,,90,,,0.75,10,95,75,0,100,0,100,0,0,0,90,100,100,0,0,0
2003,,90,,,0.75,10,96,75,0,100,0,100,0,0,0,90,100,100,0,0,0
2004,,90,,,0.75,10,96,75,0,100,0,90,0,0,10,90,100,90,0,0,10
2005,,90,,,0.75,10,96,75,0,100,0,90,0,0,10,90,100,90,0,0,10
2006,,90,,,0.75,10,96,75,0,100,0,80,0,0,20,90,100,80,0,0,20
2007,,90,,,0.75,10,96,75,0,100,0,80,0,0,20,90,100,80,0,0,20
2008,,90,,,0.75,10,96,75,0,100,0,70,0,0,30,90,100,70,0,0,30
2009,,90,,,0.75,10,96,75,0,100,0,70,0,0,30,90,100,70,0,0,30
2010,,90,,,0.75,11,97,75,0,100,0,60,0,0,40,90,100,60,0,0,40
2011,,90,,,0.75,11,97,75,0,100,0,60,0,0,40,90,100,60,0,0,40
2012,,91,,,0.75,11,97,75,0,100,5,55,0,0,40,90,100,60,0,0,40
2013,,91,,,0.75,12,97,75,0,100,5,55,0,0,40,90,100,60,0,0,40
2014,,92,,,0.75,12,97,75,0,100,5,50,0,0,45,90,100,55,0,0,45
2015,,92,,,0.75,12,97,75,0,100,5,45,0,0,50,90,100,50,0,0,50
2016,,93,,,0.75,12,97,75,0,100,15,40,0,0,45,90,100,55,0,0,45
2017,,93,,,0.75,12,97,75,0,100,15,30,0,0,55,90,100,45,0,0,55
2018,,94,,,0.75,12,97,75,0,100,15,20,0,10,55,90,100,35,0,10,55
2019,,94,,,0.75,12,97,75,0,100,15,10,0,10,65,90,100,25,0,10,65
2020,,95,,,0.75,12,97,75,0,100,15,5,0,10,70,90,100,20,0,10,70
2021,,95,,,0.75,12,97,75,0,100,15,5,0,10,70,90,100,20,0,10,70
2022,,96,,,0.6,12,97,75,0,100,15,5,0,10,70,90,100,20,0,10,70
2023,,96,,,0.6,12,97,75,0,100,15,5,0,10,70,90,100,20,0,10,70
2024,,96,,,0.6,12,97,75,0,100,15,5,0,10,70,90,100,20,0,10,70
2025,,96,,,0.6,12,97,75,0,100,15,5,0,10,70,90,100,20,0,10,70
2026,,96,,,0.6,12,97,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2027,,96,,,0.6,12,97,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2028,,96,,,0.6,12,97,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2029,,96,,,0.6,12,97,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2030,,96,,,0.5,12,97,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2031,,96,,,0.5,12,97,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2032,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2033,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2034,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2035,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2036,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2037,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2038,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2039,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2040,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2041,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2042,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2043,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2044,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2045,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2046,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2047,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2048,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2049,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
2050,,96,,,0.5,12,98,75,0,100,15,5,0,20,60,90,100,20,0,20,60
