Degradation Rate,% Cohort,Years before reaching 80%
-5.2,0.18,3
-4.2,0.59,4
-3.4,1.04,5
-3.2,0.45,6
-3,0.57,6
-2.8,0.73,7
-2.6,1.12,7
-2.4,1.36,8
-2.2,2.34,9
-2,3.5,10
-1.8,4.7,11
-1.6,5.37,12
-1.4,6.9,14
-1.2,8.51,16
-1,10.22,20
-0.8,11.62,25
-0.6,12.3,33
-0.4,10.06,50
-0.2,18.42,100
