,more than 3mm,2 to 3mm,less than 2mm,glass-backsheet,glass-glass,foil-foil
2017,94,6,0,95,5,
2018,93,7,0,94,6,
2019,90,10,0,90,10,
2020,85,15,0,85,15,
2021,,,,,,
2022,81,18,1,81,18,1
2023,,,,,,
2024,72,24,4,78,21,1
2025,,,,,,
2026,,,,,,
2027,64,32,4,71,26,3
2028,,,,,,
2029,,,,,,
2030,60,35,5,65,31,4
