Year,Si_g
1995,8.484214285714287
1996,8.317857142857145
1997,8.151500000000002
1998,7.985142857142859
1999,7.818785714285715
2000,7.6524285714285725
2001,7.486071428571428
2002,7.319714285714288
2003,7.1533571428571445
2004,6.987000000000001
2005,5.822500000000001
2006,4.658000000000001
2007,4.4251000000000005
2008,4.192200000000001
2009,4.1922
2010,4.1922
2011,4.1922
2012,4.1922
2013,4.1922
2014,4.1922
2015,4.1922
2016,4.1922
2017,4.1922
2018,4.1085500825570005
2019,4.021406667442999
2020,3.8005398325570003
2021,3.6738034162785
2022,3.547067
2023,3.4849603337215003
2024,3.422853667443
2025,3.360112994962
2026,3.2973723224810003
2027,3.23463165
2028,3.204082933333333
2029,3.1735342166666665
2030,3.1429855
