,Nameplate Capacity (MW)
1995,12.5
1996,9.7
1997,11.7
1998,11.9
1999,17.2
2000,21.5
2001,3.9000000000000004
2002,3.0
2003,0.30000000000000004
2005,2.1
2006,1.9
2007,32.9
2008,32.5
2009,101.1
2010,235.6
2011,778.9
2012,1616.9
2013,2762.3
2014,3410.8
2015,3459.5
2016,8107.7
2017,5226.1
2018,4911.6
2019,5607.3
2020,10632.2
2021,13466.4
