Year,avg_glass_thickness_mm
1995,16000.0
1996,16000.0
1997,16000.0
1998,16000.0
1999,16000.0
2000,16000.0
2001,16000.0
2002,16000.0
2003,16000.0
2004,16000.0
2005,16000.0
2006,16000.0
2007,16000.0
2008,16000.0
2009,16000.0
2010,16000.0
2011,16000.0
2012,16000.0
2013,16000.0
2014,15947.500000000002
2015,15895.000000000002
2016,15842.5
2017,15790.0
2018,15755.000000000002
2019,15650.000000000002
2020,15475.000000000002
2021,14914.999999999998
2022,14810.000000000002
2023,14635.0
2024,14460.0
2025,14302.5
2026,14145.0
2027,14063.333333333334
2028,13981.666666666668
2029,13900.000000000002
2030,13806.666666666668
2031,13713.333333333332
2032,13620.000000000002
2033,13620.000000000002
2034,13620.000000000002
2035,13620.000000000002
2036,13620.000000000002
2037,13620.000000000002
2038,13620.000000000002
2039,13620.000000000002
2040,13620.000000000002
2041,13620.000000000002
2042,13620.000000000002
2043,13620.000000000002
2044,13620.000000000002
2045,13620.000000000002
2046,13620.000000000002
2047,13620.000000000002
2048,13620.000000000002
2049,13620.000000000002
2050,13620.000000000002
