year,E_AlFrames_kWhpkg,PrctFuel
1995,60.0,26.499999999999996
1996,60.74,26.432993085281524
1997,61.480000000000004,26.36759921925829
1998,62.22,26.303760848601737
1999,62.96,26.241423125794157
2000,63.7,26.180533751962322
2001,64.75333333333333,26.09626274065685
2002,65.80666666666667,26.01468949447877
2003,66.86,25.93568650912354
2004,65.20371875000001,26.06106103035726
2005,63.5474375,26.1929709990273
2006,61.89115625,26.331941104267216
2007,60.234875,26.478553744819756
2008,58.578593749999996,26.633457187592523
2009,56.9223125,26.797375150561564
2010,55.26603125,26.971118108829277
2011,53.60975,27.15559669649644
2012,49.338349658571424,27.68850908641347
2013,45.06694931714286,28.322439282005547
2014,40.79554897571428,29.089117766167334
2015,36.52414863428571,30.035118198216527
2016,32.25274829285714,31.231686211778843
2017,27.981347951428567,32.79357050892725
2018,23.70994761,34.918208737872455
2019,23.3796828075,35.114819380446804
2020,23.049418005,35.317064314960774
2021,22.7191532025,35.52518925589564
2022,22.3888884,35.73945441614689
2023,22.3888884,35.73945441614689
2024,22.3888884,35.73945441614689
2025,22.3888884,35.73945441614689
2026,22.3888884,35.73945441614689
2027,22.3888884,35.73945441614689
2028,22.3888884,35.73945441614689
2029,22.3888884,35.73945441614689
2030,22.3888884,35.73945441614689
2031,22.3888884,35.73945441614689
2032,22.3888884,35.73945441614689
2033,22.3888884,35.73945441614689
2034,22.3888884,35.73945441614689
2035,22.3888884,35.73945441614689
2036,22.3888884,35.73945441614689
2037,22.3888884,35.73945441614689
2038,22.3888884,35.73945441614689
2039,22.3888884,35.73945441614689
2040,22.3888884,35.73945441614689
2041,22.3888884,35.73945441614689
2042,22.3888884,35.73945441614689
2043,22.3888884,35.73945441614689
2044,22.3888884,35.73945441614689
2045,22.3888884,35.73945441614689
2046,22.3888884,35.73945441614689
2047,22.3888884,35.73945441614689
2048,22.3888884,35.73945441614689
2049,22.3888884,35.73945441614689
2050,22.3888884,35.73945441614689
