year,E_melt_refine_total_kWhpkg,Prct_Fuel
1995,2.77,96.0
1996,2.77,96.0
1997,2.77,96.0
1998,2.7288888888888887,95.88888888888889
1999,2.687777777777778,95.77777777777777
2000,2.6466666666666665,95.66666666666667
2001,2.6055555555555556,95.55555555555556
2002,2.5644444444444443,95.44444444444444
2003,2.5233333333333334,95.33333333333333
2004,2.482222222222222,95.22222222222223
2005,2.441111111111111,95.11111111111111
2006,2.4,95.0
2007,2.38,95.0
2008,2.36,95.0
2009,2.34,95.0
2010,2.32,95.0
2011,2.3,95.0
2012,2.28,95.0
2013,2.2600000000000002,95.0
2014,2.24,95.0
2015,2.22,95.0
2016,2.2,95.0
2017,2.18,95.0
2018,2.16,95.0
2019,2.14,95.0
2020,2.14,95.0
2021,2.14,95.0
2022,2.14,95.0
2023,2.14,95.0
2024,2.14,95.0
2025,2.14,95.0
2026,2.14,95.0
2027,2.14,95.0
2028,2.14,95.0
2029,2.14,95.0
2030,2.14,95.0
2031,2.14,95.0
2032,2.14,95.0
2033,2.14,95.0
2034,2.14,95.0
2035,2.14,95.0
2036,2.14,95.0
2037,2.14,95.0
2038,2.14,95.0
2039,2.14,95.0
2040,2.14,95.0
2041,2.14,95.0
2042,2.14,95.0
2043,2.14,95.0
2044,2.14,95.0
2045,2.14,95.0
2046,2.14,95.0
2047,2.14,95.0
2048,2.14,95.0
2049,2.14,95.0
2050,2.14,95.0
