year,MarketShare_Chinese_MGSi
2005,0.542409806
2006,0.62390036
2007,0.635274553
2008,0.674581147
2009,0.702587552
2010,0.695528399
2011,0.682352579
2012,0.678124075
2013,0.680339683
2014,0.709385858
2015,0.690448538
2016,0.691659523
2017,0.654437658
2018,0.684409818
