Year,glass-backsheet,glass-glass,foil-foil
1995,1.0,0.0,0.0
1996,1.0,0.0,0.0
1997,1.0,0.0,0.0
1998,1.0,0.0,0.0
1999,1.0,0.0,0.0
2000,1.0,0.0,0.0
2001,1.0,0.0,0.0
2002,1.0,0.0,0.0
2003,1.0,0.0,0.0
2004,1.0,0.0,0.0
2005,1.0,0.0,0.0
2006,1.0,0.0,0.0
2007,1.0,0.0,0.0
2008,1.0,0.0,0.0
2009,1.0,0.0,0.0
2010,1.0,0.0,0.0
2011,1.0,0.0,0.0
2012,0.99,0.01,0.0
2013,0.98,0.02,0.0
2014,0.96,0.04,0.0
2015,0.965,0.035,0.0
2016,0.97,0.03,0.0
2017,0.95,0.05,0.0
2018,0.94,0.06,0.0
2019,0.9,0.1,0.0
2020,0.84,0.16,0.0
2021,0.745,0.25,0.005
2022,0.68,0.31,0.01
2023,0.64,0.35,0.01
2024,0.6,0.39,0.01
2025,0.58,0.405,0.015
2026,0.56,0.42,0.02
2027,0.53,0.44666666666666666,0.023333333333333334
2028,0.5,0.4733333333333334,0.026666666666666665
2029,0.47,0.5,0.03
2030,0.4666666666666666,0.5033333333333334,0.03
2031,0.4633333333333334,0.5066666666666666,0.03
2032,0.46,0.51,0.03
2033,0.46,0.51,0.03
2034,0.46,0.51,0.03
2035,0.46,0.51,0.03
2036,0.46,0.51,0.03
2037,0.46,0.51,0.03
2038,0.46,0.51,0.03
2039,0.46,0.51,0.03
2040,0.46,0.51,0.03
2041,0.46,0.51,0.03
2042,0.46,0.51,0.03
2043,0.46,0.51,0.03
2044,0.46,0.51,0.03
2045,0.46,0.51,0.03
2046,0.46,0.51,0.03
2047,0.46,0.51,0.03
2048,0.46,0.51,0.03
2049,0.46,0.51,0.03
2050,0.46,0.51,0.03
