,,year,Residential,Commercial,Utility,All Sector All Tech Installs_[MWdc],Residential c-Si,Commercial c-Si,Utility c-Si,All Sector c-Si Installs_[MWdc]
yearly,1.6m$^2$,2030,807654.954787537,1070405.3734992517,824141.7442994904,2702202.07258628,807654.954787537,1070219.557371528,514042.4729903701,2391916.985149435
yearly,1.6m$^2$,2050,1388040.4956618522,1035183.4593041749,4963227.059153169,7386451.014119197,1388040.4956618522,1034022.596567795,3367587.687133738,5789650.7793633845
yearly,2m$^2$,2030,646123.9638300296,856324.2987994014,659313.3954395923,2161761.658069024,646123.9638300296,856175.6458972223,411233.9783922961,1913533.588119548
yearly,2m$^2$,2050,1110432.3965294817,828146.7674433399,3970581.6473225355,5909160.8112953575,1110432.3965294817,827218.0772542361,2694070.1497069905,4631720.623490708
cumulative,1.6m$^2$,2030,2628510.414777823,4118820.322077237,2355229.2205707883,9102559.957425848,2628510.414777823,4118388.128439727,1506755.5720628765,8253654.115280425
cumulative,1.6m$^2$,2050,57603508.16803145,53941647.01292336,169112436.98439315,280657592.16534793,57603508.16803145,53774950.82993684,117717375.77947977,229095834.77744803
cumulative,2m$^2$,2030,2102808.3318222584,3295056.2576617897,1884183.3764566309,7282047.9659406785,2102808.3318222584,3294710.5027517816,1205404.4576503013,6602923.29222434
cumulative,2m$^2$,2050,46082806.53442516,43153317.61033869,135289949.58751452,224526073.73227835,46082806.53442516,43019960.663949475,94173900.62358382,183276667.82195842
