Year,area
1992,0.5
1993,0.62
1994,0.63
1995,0.66
1996,0.69
1997,0.86
1998,0.97
1999,1.01
2000,1.06
2001,1.11
2002,1.15
2003,1.18
2004,1.25
2005,1.39
2006,1.43
2007,1.46
2008,1.5
2009,1.54
2010,1.56
2011,1.59
2012,1.59
2013,1.62
2014,1.64
2015,1.65
