Operating Year,Utility ID,Plant Code,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Operating Month
2001,24211,8223,1,1.0,3.7,5
2008,113939,113819,4,11.0,11.0,20
2009,405488,521539,17,28.6,28.6,76
2010,527930,572237,22,117.8,117.1,87
2011,619901,747963,18,84.6,85.3,110
2012,468741,520086,17,498.5,496.2,68
2013,1387542,1561770,46,1182.8,1168.3,224
2014,2258963,2231582,75,1187.8,1173.5,348
2015,2726626,2918038,95,908.2,900.8,449
2016,3439274,4022997,128,1508.7,1495.9,555
2017,4182406,4567959,148,823.1,795.5,597
2018,3453966,3632997,117,878.0,874.2,419
2019,3065211,3399611,103,1762.6,1762.6,415
2020,3479192,3779572,115,2489.5,2489.4,514
2021,2592214,2864719,85,3801.0,3780.5,339
