CapacityInstalled_MWdc,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,Washington DC,West Virginia,Wisconsin,Wyoming,Puerto Rico and Other U.S. Territories,National
2010,,,47.6,,712.3,54.2,16.4,3.1,38.1,0.4,24.8,,4.1,,0.3,,,,,5.5,16.2,3,,,,                                       -  ,,36.1,,110.8,2.3,31.9,11.7,,1.7,,13.5,7.2,,,,1.1,8,0.1,,,4.7,0.3,,5.1,,7.5,"1,168"
2011,,,63,,215.8,53.6,4.8,2.4,35.2,4.1,16.1,,10.6,,,,,,,7.7,21.5,,2.3,,,,,61.4,,132.4,42.8,22.6,30.7,,19.4,,11.3,46.8,,,,,22.6,0.3,,,2.5,1,,2.9,,15.1,849
2012,,,309.7,,577.1,91.7,4.5,20.3,13.8,9.8,40.4,,1.1,,0.3,,2.3,,,21.6,31,3.4,1.8,,,,,43.6,,313.3,122.8,59.9,54.8,,21,,17.5,87.9,,,,17.6,44,0.3,5.2,,5.1,1.8,,4.8,,12.4,"1,941"
2013,,,718.6,,"1,045.70",75.8,10.9,17.9,24.2,10.5,108.7,,30.4,,1.1,,0.1,,,78.8,134.5,2.9,4,,6.8,,,198,,419.2,25.8,63.4,124.2,,25,,26.8,54.4,,0.1,,26.9,51.3,0.8,11.6,,4,1.5,,1.4,,68.8,"3,374"
2014,0.8,,420.7,,"2,620.80",55.9,37.3,9.4,26.3,90.9,143.6,,1.5,53.9,3.9,,,,,28.8,239.8,2.1,6.2,0.2,28.2,,,46.6,2,235.6,46.9,71.8,335.4,,20.9,,7.2,38.3,8.3,3.7,,24.9,75.2,2.4,15.7,5.5,8.7,2.1,,3.2,,41.3,"4,766"
2015,1.1,,246.6,1.8,"3,549.00",67.7,55.6,7.5,21.6,45.5,106.9,0.8,6.3,58.5,15.2,,0.6,30.7,,80,316.6,3.1,5.9,0.3,72.6,0.9,,348.7,3.2,239.8,78.8,147.4,396.6,,14.6,0.7,8.2,10.2,3.3,1,,44.1,128.9,14.1,37.5,5.6,13.8,2.7,,3.3,0.4,47.7,"6,245"
2016,0.4,,257.5,16.5,"3,267.90",145.8,91.3,17.7,42.5,248.7,117,2.1,11.1,23.6,7.2,1.2,3.2,30.2,,167.1,329.8,5,19,2.5,20.3,1.8,,298.8,16.3,189.4,56.3,242.5,"1,139.60",,10.2,3.3,29.7,13.1,1.7,4.2,,11,217.2,230.9,43.5,34.7,26.4,7.2,,5.2,0.3,98.3,"7,509"
2017,103.4,0.1,656.5,3.4,"5,192.00",320.3,105.3,16.9,405.4,"1,068.20",107.5,276.2,5.2,85.4,21.3,,17.5,14.9,0.1,276.9,496,15.9,268.9,7.7,19.7,2.3,6.8,996,30.8,390.3,261.6,310.4,"1,014.30",0.1,12,2,125.4,43.5,9.6,96.4,,42,672.8,"1,240.50",76.9,192.4,26.5,16.4,,5.1,0.7,45,"15,104"
2018,130.8,,413.7,4.8,"2,595.80",123.1,95.4,19.9,804.3,91,142.8,176.8,12.9,65.1,27.7,4.8,21.1,7.5,4.6,231.8,605.3,76.4,437.3,216.7,22.8,48.4,6.9,386.3,20.6,343.2,65.7,316.4,"1,246.20",,40.6,29.9,223.7,62.2,31.5,391.8,,68.9,717.8,110.2,38.3,392.8,20.4,15.7,,121.1,0.9,48.7,"11,080"
2019,46.1,1.2,342.5,172.4,"3,235.60",175.7,133.4,12,865.3,18,125.1,70.8,26.3,46.2,21,7.1,2.9,18.6,26.4,126.6,325.1,41,404.9,7.9,39.6,2.7,5.2,550.3,15,380.5,102.9,441.3,934.6,0.2,45.1,15.9,136.9,56.9,67.9,151,0.1,31.6,"1,010.10",55.8,82.6,141.8,64.9,15.5,1.2,15.9,105.2,18.6,"10,741"
2020,0.4,4.3,915.7,22.3,"3,111.60",221.2,175.9,10.1,"1,367.20",884.6,378.8,23.6,107.2,78.3,27.6,22.8,6.2,9.1,16,154.4,267.7,33.4,247.7,7,56.8,53.4,14.9,403.3,21.3,451.8,105.5,473.4,966.5,0.7,55.5,3.1,135.9,76.1,153.1,516.3,0.2,86.5,"1,411.80",122.9,48.7,131.7,37.1,21,2.7,42.9,2.1,21.1,"13,509"
2021,0.1,4.5,503.5,160,"3,917.50",320.9,152.4,8.7,"2,827.40",593.4,101.6,22.9,335.6,65.4,163.7,35.1,5.7,77.7,81.3,116.3,408,105.5,176.3,75.9,28.3,7.5,12.8,315.6,21.8,391.9,285.9,543.5,786.2,0,236.6,20.8,230.2,267,127.4,617.7,0.2,1.5,"3,425.90",434.4,19,"1,406.00",36.3,39.1,1.9,231.2,29,45.8,"19,823"
