year,new_Installed_Capacity_[MW],Active_Capacity_[MW],Cumulative_Decomissioned_Capacity_[MW],Annual_Decomissioned_Capacity_[MW],Cumulative_Module_Mass_Decommissioned_[million tonnes]
1995,12.5,12.5,0.0,0.0,0.0
1996,9.667666667,22.098875043774328,0.06879162322567112,0.06879162322567112,4.2858370705357865e-09
1997,11.622,33.5984575025275,0.1912091644724967,0.12241754124682558,9.037085404951729e-08
1998,11.781,45.18963453547648,0.38103213152351856,0.18982296705102186,5.219451873172653e-07
1999,2.945,47.869314303373336,0.6463523636266615,0.26532023210314293,1.746467703360377e-06
2000,3.406666667,50.971274337237446,0.9510589967625549,0.3047066331358934,4.329884884831015e-06
2001,6.0795,56.683704631341875,1.3181287026581288,0.36706970589557386,8.92574813083354e-06
2002,11.00166667,67.21471124563315,1.7887887583668487,0.47066005570871994,1.6255727396496924e-05
2003,28.63966667,95.21878026737008,2.424386406629921,0.6355976482630723,2.707935026451564e-05
2004,31.302,125.57629268429062,3.3688739897093853,0.9444875830794643,4.2142266553458624e-05
2005,47.82174596,161.2423112790054,15.524601354994587,12.155727365285202,0.0012354241536484986
2006,62.38868454,213.9578488854377,25.19774828856228,9.673146933567693,0.0009224182697295081
2007,95.73030211,308.30307041052936,26.58282887347059,1.3850805849083088,1.1349372323462159e-05
2008,197.7790994,504.04107206347635,28.62392662052366,2.0410977470530725,2.0312909479916736e-05
2009,267.4739031,768.1531824555992,31.985719328400705,3.3617927078770435,3.483748722423008e-05
2010,507.602756,1270.5788485643702,37.16280921962971,5.177089891229002,5.761215553726757e-05
2011,1481.228629,2744.7864575995272,44.183829184472415,7.021019964842708,9.21530750130947e-05
2012,2607.623226,5331.317675426093,65.27583735790722,21.092008173434806,0.0010984844554712781
2013,3353.884318,8656.213736223466,94.26409456053443,28.98825720262721,0.001084353126415268
2014,2955.356988,11579.464160405572,126.37065837842783,32.1065638178934,0.0003794468468270956
2015,4850.675866,16390.789387137815,165.72129764618512,39.35063926775729,0.00022030190087034753
2016,10615.35772,26951.009313361512,220.85909142248784,55.137793776302715,0.000343777111536064
2017,7777.051848,34639.34378987773,309.576462906276,88.71737148378816,0.0005165429190642673
2018,7243.125475,41768.107398608234,423.93832917576947,114.36186626949348,0.0007502948703124402
2019,8620.729182,50249.68516226861,563.0897475153906,139.15141833962116,0.0010568348197989073
2020,13622.95,63702.500936107834,733.2239736761621,170.1342261607715,0.0015652549088320633
2021,0.0,63458.66837056524,977.0565392187564,243.83256554259424,0.0021061214429044465
2022,0.0,63207.69574912003,1228.0291606639657,250.97262144520937,0.0028089380698111403
2023,0.0,62943.948039641975,1491.776870142021,263.7477094780552,0.0040234117558504865
2024,0.0,62671.84920359792,1763.8757061860742,272.0988360440533,0.004752419537228653
2025,0.0,62382.42472884899,2053.3001809350026,289.42447474892833,0.006242082480972936
2026,0.0,62067.524085107914,2368.2008246760815,314.90064374107897,0.008400446663882982
2027,0.0,61759.78611149907,2675.9387982849294,307.7379736088478,0.007525430348408881
2028,0.0,61383.15666828651,3052.568241497487,376.6294432125578,0.013405426388292235
2029,0.0,60915.57362468744,3520.151285096559,467.58304359907197,0.021033590477398174
2030,0.0,60315.860208993225,4119.864700790771,599.713415694212,0.03205165375790979
2031,0.0,59829.96007547665,4605.764834307345,485.900133516574,0.02103875498891683
2032,0.0,58892.29606249733,5543.428847286668,937.6640129793232,0.05777331566006135
2033,0.0,58216.751860102435,6218.973049681561,675.5442023948926,0.03506809205210878
2034,0.0,56464.869411359636,7970.85549842436,1751.8824487427992,0.12123211066576432
2035,0.0,53941.000639608734,10494.724270175262,2523.868771750902,0.18108069205958388
2036,0.0,53042.952479786145,11392.77242999785,898.0481598225888,0.04942016262683898
2037,0.0,49422.131424939136,15013.59348484486,3620.821054847009,0.2545255866909487
2038,0.0,48209.18242016222,16226.542489621774,1212.949004776914,0.0711226560082995
2039,0.0,46701.435939030125,17734.28897075387,1507.746481132097,0.09165454955514861
2040,0.0,43028.00277945194,21407.722130332055,3673.433159578184,0.2533271169071795
2041,0.0,41030.20690080523,23405.51800897877,1997.7958786467134,0.12497931709178141
2042,0.0,38659.20134902923,25776.523560754766,2371.0055517759974,0.15093209566789878
2043,0.0,33684.83987266549,30750.885037118504,4974.361476363738,0.33755602796984546
2044,0.0,26132.44587025167,38303.279039532325,7552.394002413821,0.5091906609870347
2045,0.0,24086.07351879682,40349.65139098717,2046.3723514548474,0.12963519758355846
2046,0.0,18918.291898799554,45517.433010984445,5167.781619997273,0.3456188911564733
2047,0.0,17166.72375792062,47269.00115186338,1751.5681408789314,0.11056508053568699
2048,0.0,15302.957667856419,49132.76724192758,1863.7660900642004,0.11889360465071744
2049,0.0,11852.27517486158,52583.44973492242,3450.6824929948416,0.226270398797631
2050,0.0,10441.003303474494,53994.721606309504,1411.2718713870854,0.09091286454262633
