,E_Cu_mfging_kWhpkg,PrctFuel
1995,15.46,30.19
1996,15.37,30.5
1997,15.23,30.78
1998,15.18,31.45
1999,15.05,31.9
2000,15.23,33.27
2001,14.95,33.41
2002,14.87,34.12
2003,14.89,34.76
2004,15.07,35.75
2005,15.15,36.52
2006,15.13,37.06
2007,15.13,37.65
2008,15.11,35.95
2009,15.0,35.81
2010,14.97,35.87
2011,14.85,35.71
2012,14.88,35.88
2013,14.91,36.06
2014,14.83,35.99
2015,14.86,36.18
2016,14.96,36.51
2017,14.95,36.58
2018,14.93,36.66
2019,14.83,36.55
2020,14.82,36.63
2021,14.91,36.95
2022,14.91,36.95
2023,14.91,36.95
2024,14.91,36.95
2025,14.91,36.95
2026,14.91,36.95
2027,14.91,36.95
2028,14.91,36.95
2029,14.91,36.95
2030,14.91,36.95
2031,14.91,36.95
2032,14.91,36.95
2033,14.91,36.95
2034,14.91,36.95
2035,14.91,36.95
2036,14.91,36.95
2037,14.91,36.95
2038,14.91,36.95
2039,14.91,36.95
2040,14.91,36.95
2041,14.91,36.95
2042,14.91,36.95
2043,14.91,36.95
2044,14.91,36.95
2045,14.91,36.95
2046,14.91,36.95
2047,14.91,36.95
2048,14.91,36.95
2049,14.91,36.95
2050,14.91,36.95
