,c-Si,CdTe (Thin film)
1995,1.0,0.0
1996,1.0,0.0
1997,1.0,0.0
1998,1.0,0.0
1999,1.0,0.0
2000,1.0,0.0
2001,0.7435897435897436,0.2564102564102564
2002,1.0,0.0
2003,1.0,0.0
2005,1.0,0.0
2006,1.0,0.0
2007,1.0,0.0
2008,0.6615384615384615,0.3384615384615385
2009,0.7171117705242335,0.2828882294757666
2010,0.5,0.5
2011,0.8749518551803827,0.10861471305687508
2012,0.6736347331313006,0.3083060176881687
2013,0.563081490062629,0.4281938963906889
2014,0.6014717954732027,0.34824674563152336
2015,0.7283422459893047,0.2625234860528978
2016,0.808157677269756,0.18608236614576268
2017,0.8313656455100361,0.15749794301678116
2018,0.7697898851698021,0.1787604853815457
2019,0.6666309988764646,0.3143402350507374
2020,0.7534752920373958,0.23414721318259624
2021,0.6955385255153568,0.28225806451612906
