scenario,year,PCA,Capacity (GW)
a1_RE100,2010,p1,1.55E-05
a1_RE100,2010,p10,0.486022727
a1_RE100,2010,p100,0
a1_RE100,2010,p101,0.021315455
a1_RE100,2010,p102,0.014624545
a1_RE100,2010,p103,0
a1_RE100,2010,p104,0
a1_RE100,2010,p105,0
a1_RE100,2010,p106,0
a1_RE100,2010,p107,0
a1_RE100,2010,p108,0
a1_RE100,2010,p109,0
a1_RE100,2010,p11,0.097616364
a1_RE100,2010,p110,0
a1_RE100,2010,p111,2.73E-05
a1_RE100,2010,p112,0.01
a1_RE100,2010,p113,0.001100909
a1_RE100,2010,p114,0
a1_RE100,2010,p115,0.000398182
a1_RE100,2010,p116,0
a1_RE100,2010,p117,0
a1_RE100,2010,p118,0
a1_RE100,2010,p119,0.000112727
a1_RE100,2010,p12,0.000370909
a1_RE100,2010,p120,0.000277273
a1_RE100,2010,p121,0
a1_RE100,2010,p122,0.006117273
a1_RE100,2010,p123,0.001401818
a1_RE100,2010,p124,0
a1_RE100,2010,p125,0.000861818
a1_RE100,2010,p126,0.022560909
a1_RE100,2010,p127,0.002961818
a1_RE100,2010,p128,0.00656
a1_RE100,2010,p129,0.000171818
a1_RE100,2010,p13,0.048494545
a1_RE100,2010,p130,0
a1_RE100,2010,p131,0.006069091
a1_RE100,2010,p132,0.001238182
a1_RE100,2010,p133,0
a1_RE100,2010,p134,0.00131
a1_RE100,2010,p14,0
a1_RE100,2010,p15,0
a1_RE100,2010,p16,0
a1_RE100,2010,p17,0
a1_RE100,2010,p18,0
a1_RE100,2010,p19,0
a1_RE100,2010,p2,0
a1_RE100,2010,p20,0
a1_RE100,2010,p21,0
a1_RE100,2010,p22,0
a1_RE100,2010,p23,0
a1_RE100,2010,p24,0
a1_RE100,2010,p25,0
a1_RE100,2010,p26,0
a1_RE100,2010,p27,0.000392727
a1_RE100,2010,p28,0.010719091
a1_RE100,2010,p29,3.00E-05
a1_RE100,2010,p3,6.91E-05
a1_RE100,2010,p30,0.004314545
a1_RE100,2010,p31,0.030591818
a1_RE100,2010,p32,0
a1_RE100,2010,p33,0.003196364
a1_RE100,2010,p34,0.01978
a1_RE100,2010,p35,0
a1_RE100,2010,p36,0
a1_RE100,2010,p37,0
a1_RE100,2010,p38,0
a1_RE100,2010,p39,0
a1_RE100,2010,p4,0.000109091
a1_RE100,2010,p40,0
a1_RE100,2010,p41,0
a1_RE100,2010,p42,0
a1_RE100,2010,p43,0
a1_RE100,2010,p44,0
a1_RE100,2010,p45,0
a1_RE100,2010,p46,3.45E-05
a1_RE100,2010,p47,7.09E-05
a1_RE100,2010,p48,1.45E-05
a1_RE100,2010,p49,0
a1_RE100,2010,p5,0.005198182
a1_RE100,2010,p50,0
a1_RE100,2010,p51,0
a1_RE100,2010,p52,0
a1_RE100,2010,p53,0
a1_RE100,2010,p54,8.64E-05
a1_RE100,2010,p55,6.36E-06
a1_RE100,2010,p56,0
a1_RE100,2010,p57,0.000619091
a1_RE100,2010,p58,0.002702727
a1_RE100,2010,p59,0.000205455
a1_RE100,2010,p6,0.000224545
a1_RE100,2010,p60,1.09E-05
a1_RE100,2010,p61,7.27E-06
a1_RE100,2010,p62,5.82E-05
a1_RE100,2010,p63,0.000183636
a1_RE100,2010,p64,1.55E-05
a1_RE100,2010,p65,0.013568182
a1_RE100,2010,p66,6.36E-06
a1_RE100,2010,p67,4.55E-05
a1_RE100,2010,p68,0
a1_RE100,2010,p69,0
a1_RE100,2010,p7,3.91E-05
a1_RE100,2010,p70,0
a1_RE100,2010,p71,4.45E-05
a1_RE100,2010,p72,4.64E-05
a1_RE100,2010,p73,0
a1_RE100,2010,p74,0
a1_RE100,2010,p75,4.45E-05
a1_RE100,2010,p76,3.64E-06
a1_RE100,2010,p77,0
a1_RE100,2010,p78,4.00E-05
a1_RE100,2010,p79,9.27E-05
a1_RE100,2010,p8,0.000745455
a1_RE100,2010,p80,0.000323636
