tech,scenario,region,year,Capacity (GW)
upv,a1_RE100,p1,2012,0
upv,a1_RE100,p1,2014,0
upv,a1_RE100,p1,2016,0
upv,a1_RE100,p1,2018,0
upv,a1_RE100,p1,2020,0.0125
upv,a1_RE100,p1,2022,0
upv,a1_RE100,p1,2024,0
upv,a1_RE100,p1,2026,0.022746313
upv,a1_RE100,p1,2028,0
upv,a1_RE100,p1,2030,0
upv,a1_RE100,p1,2032,0
upv,a1_RE100,p1,2034,0.146387092
upv,a1_RE100,p1,2036,0.424958914
upv,a1_RE100,p1,2038,0
upv,a1_RE100,p1,2040,0
upv,a1_RE100,p1,2042,0.058729487
upv,a1_RE100,p1,2044,0.076205205
upv,a1_RE100,p1,2046,0.010950527
upv,a1_RE100,p1,2048,0
upv,a1_RE100,p1,2050,0
upv,a1_RE100,p10,2012,0.1065
upv,a1_RE100,p10,2014,1.3535515
upv,a1_RE100,p10,2016,1.596154
upv,a1_RE100,p10,2018,0.49705
upv,a1_RE100,p10,2020,0.98715
upv,a1_RE100,p10,2022,0.38025
upv,a1_RE100,p10,2024,2.507450829
upv,a1_RE100,p10,2026,3.245649979
upv,a1_RE100,p10,2028,0.919002447
upv,a1_RE100,p10,2030,0.801093174
upv,a1_RE100,p10,2032,1.329557506
upv,a1_RE100,p10,2034,1.147001345
upv,a1_RE100,p10,2036,0.150129528
upv,a1_RE100,p10,2038,0
upv,a1_RE100,p10,2040,0
upv,a1_RE100,p10,2042,0
upv,a1_RE100,p10,2044,0.1065
upv,a1_RE100,p10,2046,1.3535515
upv,a1_RE100,p10,2048,1.596154
upv,a1_RE100,p10,2050,0.49705
upv,a1_RE100,p100,2012,0
upv,a1_RE100,p100,2014,0
upv,a1_RE100,p100,2016,0
upv,a1_RE100,p100,2018,0.005
upv,a1_RE100,p100,2020,0
upv,a1_RE100,p100,2022,0
upv,a1_RE100,p100,2024,0
upv,a1_RE100,p100,2026,0
upv,a1_RE100,p100,2028,0
upv,a1_RE100,p100,2030,0.000916793
upv,a1_RE100,p100,2032,0
upv,a1_RE100,p100,2034,0
upv,a1_RE100,p100,2036,0
upv,a1_RE100,p100,2038,0
upv,a1_RE100,p100,2040,0
upv,a1_RE100,p100,2042,0
upv,a1_RE100,p100,2044,0
upv,a1_RE100,p100,2046,0
upv,a1_RE100,p100,2048,0
upv,a1_RE100,p100,2050,0
upv,a1_RE100,p101,2012,0.00755
upv,a1_RE100,p101,2014,0
upv,a1_RE100,p101,2016,0.1179
upv,a1_RE100,p101,2018,0.31795
upv,a1_RE100,p101,2020,0.94325
upv,a1_RE100,p101,2022,0.878049655
upv,a1_RE100,p101,2024,0
upv,a1_RE100,p101,2026,0.733182764
upv,a1_RE100,p101,2028,0.034671911
upv,a1_RE100,p101,2030,5.332323236
upv,a1_RE100,p101,2032,3.544006698
upv,a1_RE100,p101,2034,6.086459115
upv,a1_RE100,p101,2036,3.767430947
upv,a1_RE100,p101,2038,4.056626357
upv,a1_RE100,p101,2040,1.395917976
upv,a1_RE100,p101,2042,0.669625865
upv,a1_RE100,p101,2044,0.579339748
upv,a1_RE100,p101,2046,8.211555608
upv,a1_RE100,p101,2048,1.535095172
upv,a1_RE100,p101,2050,11.05747049
upv,a1_RE100,p102,2012,0
upv,a1_RE100,p102,2014,0
upv,a1_RE100,p102,2016,0
upv,a1_RE100,p102,2018,0.1498
upv,a1_RE100,p102,2020,0.149
upv,a1_RE100,p102,2022,0.11175
upv,a1_RE100,p102,2024,0.021928964
upv,a1_RE100,p102,2026,3.529178267
upv,a1_RE100,p102,2028,7.734331458
upv,a1_RE100,p102,2030,0.044130428
upv,a1_RE100,p102,2032,0.13035576
upv,a1_RE100,p102,2034,0.030907399
upv,a1_RE100,p102,2036,3.03323351
upv,a1_RE100,p102,2038,5.812035907
upv,a1_RE100,p102,2040,0
upv,a1_RE100,p102,2042,0.005
upv,a1_RE100,p102,2044,0
upv,a1_RE100,p102,2046,0
upv,a1_RE100,p102,2048,0
upv,a1_RE100,p102,2050,0.1498
upv,a1_RE100,p103,2012,0
upv,a1_RE100,p103,2014,0
upv,a1_RE100,p103,2016,0
upv,a1_RE100,p103,2018,0.0407
upv,a1_RE100,p103,2020,0.025
upv,a1_RE100,p103,2022,2.104918901
upv,a1_RE100,p103,2024,0
upv,a1_RE100,p103,2026,0.237249406
upv,a1_RE100,p103,2028,0
