,E_Te_kWhpkg,E_Te_fuelfract
1995,15.59,25.97
1996,15.52,26.21
1997,15.41,26.41
1998,15.38,27.02
1999,15.27,27.38
2000,15.48,28.74
2001,15.22,28.75
2002,15.16,29.37
2003,15.21,29.96
2004,15.41,30.94
2005,15.52,31.67
2006,15.52,32.14
2007,15.54,32.67
2008,15.54,30.96
2009,15.46,30.74
2010,15.46,30.74
2011,15.36,30.5
2012,15.41,30.63
2013,15.46,30.76
2014,15.4,30.62
2015,15.47,30.77
2016,15.59,31.07
2017,15.6,31.09
2018,15.6,31.11
2019,15.53,30.92
2020,15.54,30.95
2021,15.66,31.24
2022,15.66,31.24
2023,15.66,31.24
2024,15.66,31.24
2025,15.66,31.24
2026,15.66,31.24
2027,15.66,31.24
2028,15.66,31.24
2029,15.66,31.24
2030,15.66,31.24
2031,15.66,31.24
2032,15.66,31.24
2033,15.66,31.24
2034,15.66,31.24
2035,15.66,31.24
2036,15.66,31.24
2037,15.66,31.24
2038,15.66,31.24
2039,15.66,31.24
2040,15.66,31.24
2041,15.66,31.24
2042,15.66,31.24
2043,15.66,31.24
2044,15.66,31.24
2045,15.66,31.24
2046,15.66,31.24
2047,15.66,31.24
2048,15.66,31.24
2049,15.66,31.24
2050,15.66,31.24
