,year,Residential,Commercial,Utility,All Sector All Tech Installs_[MWdc],Residential c-Si,Commercial c-Si,Utility c-Si,All Sector c-Si Installs_[MWdc]
yearly,2030,1292247.9276600592,1712648.5975988028,1318626.7908791846,4323523.316138048,1292247.9276600592,1712351.2917944447,822467.9567845922,3827067.176239096
yearly,2050,2220864.7930589635,1656293.5348866798,7941163.294645071,11818321.622590715,2220864.7930589635,1654436.1545084722,5388140.299413981,9263441.246981416
cumulative,2030,4205616.663644517,6590112.515323579,3768366.7529132618,14564095.931881357,4205616.663644517,6589421.005503563,2410808.9153006026,13205846.58444868
cumulative,2050,92165613.06885032,86306635.22067738,270579899.17502904,449052147.4645567,92165613.06885032,86039921.32789895,188347801.24716765,366553335.64391685
