Year,Si_g
1995,848.4214285714286
1996,831.7857142857143
1997,815.1500000000002
1998,798.5142857142858
1999,781.8785714285715
2000,765.2428571428571
2001,748.6071428571428
2002,731.9714285714288
2003,715.3357142857144
2004,698.7
2005,582.2500000000001
2006,465.8
2007,442.51000000000005
2008,419.22
2009,419.22
2010,419.22
2011,419.22
2012,419.22
2013,419.22
2014,419.22
2015,419.22
2016,419.21999999999997
2017,419.21999999999997
2018,410.8550082557001
2019,402.1406667443
2020,380.0539832557001
2021,367.38034162785004
2022,354.70670000000007
2023,348.49603337214995
2024,342.2853667443001
2025,336.0112994962
2026,329.7372322481
2027,323.4631650000001
2028,320.4082933333334
2029,317.3534216666667
2030,314.29855
2031,
2032,
