year,EVA,TPU,PVB,Polyolefin,PDMS,Source
2013,450,,,,,"ITRPV 2014, Fig. 11"
2014,,,,,,
2015,,,,,,
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
2020,450,450,500,475,500,"ITRPV 2021, Fig. 44"
2021,450,450,500,475,500,"ITRPV 2021, Fig. 44"
2022,,,,,,
2023,450,425,475,450,450,"ITRPV 2021, Fig. 44"
2024,,,,,,
2025,425,415,430,430,420,"ITRPV 2021, Fig. 44"
2026,,,,,,
2027,,,,,,
2028,400,400,400,400,400,"ITRPV 2021, Fig. 44"
2029,,,,,,
2030,,,,,,
2031,400,380,400,400,400,"ITRPV 2021, Fig. 44"
