,Al_wtd_gpm2
1992,3599.9999999999995
1993,3193.548387096774
1994,3172.2488038277506
1995,3091.1854103343458
1996,3017.4165457184326
1997,2699.9999999999995
1998,2540.3726708074532
1999,2484.6989141164854
2000,2433.962264150944
2001,2387.5338753387528
2002,2344.887348353553
2003,2317.8920526986826
2004,2256.0192616372397
2005,2113.832853025937
2006,2083.4794808839
2007,2054.6821599453174
2008,2027.3242252582477
2009,2001.3003901170352
2010,1987.1506585287505
2011,1966.5931295304129
2012,1962.986198243413
2013,1619.458128078818
2014,1592.7397260273972
2015,1495.2424242424242
2016,1412.526315789474
2017,1379.820895522388
2018,1361.6666666666665
2019,1343.6470588235295
2020,1315.058823529412
2021,1293.6176470588236
2022,1272.1764705882354
2023,1229.2941176470588
2024,1186.4117647058824
2025,1157.8235294117649
2026,1129.235294117647
2027,1100.6470588235295
2028,1081.5882352941178
2029,1062.5294117647059
2030,1043.4705882352941
