year,Module Assembly Energy Whpm2
1995,8600.0
1996,8700.0
1997,8799.999999999998
1998,8900.0
1999,9000.0
2000,9100.0
2001,9200.0
2002,9300.0
2003,9400.0
2004,9500.0
2005,6664.0
2006,6176.666666666667
2007,5689.333333333333
2008,5202.0
2009,4714.666666666667
2010,4227.333333333334
2011,3740.0
2012,3698.0000000000005
2013,3656.0
2014,3614.0
2015,3572.0
2016,3530.0000000000005
2017,3488.0
2018,3445.9999999999995
2019,3404.0
2020,3362.0
2021,3320.0
2022,3320.0
2023,3320.0
2024,3320.0
2025,3320.0
2026,3320.0
2027,3320.0
2028,3320.0
2029,3320.0
2030,3320.0
2031,3320.0
2032,3320.0
2033,3320.0
2034,3320.0
2035,3320.0
2036,3320.0
2037,3320.0
2038,3320.0
2039,3320.0
2040,3320.0
2041,3320.0
2042,3320.0
2043,3320.0
2044,3320.0
2045,3320.0
2046,3320.0
2047,3320.0
2048,3320.0
2049,3320.0
2050,3320.0
