year,Cole et al 2021,Cole et al 2021,Williams et al 2021,Williams et al 2021,Clack et al 2020 Vibrant Clean Energy,,
,US RE100,US RE100,"US, RE100","US, RE100","US, Clean Electricity, detailed DPV",,
year,MW_cum,MW_Annual,"GW_cum*calculated, doesn't quite align",GW_Annual avg,GW_cum *digitized,GW_annual*digitized,GW_cum*calc
2020,79620.83207,17083.9189,96.109,23,108,23,131
2021,113930.3562,34309.52411,119.109,23,,23,154
2022,148239.8803,34309.52411,142.109,23,,23,177
2023,172476.2963,24236.41597,165.109,23,,23,200
2024,196712.7122,24236.41597,188.109,23,,23,223
2025,270858.8007,74146.08849,211.109,23,225,26,249
2026,345004.8892,74146.08849,234.109,40,,26,275
2027,402406.1908,57401.30156,274.109,40,,26,301
2028,459807.4923,57401.30156,314.109,40,,26,327
2029,541005.4788,81197.98651,354.109,40,,26,353
2030,622203.4653,81197.98651,394.109,40,355,30,383
2031,688215.5271,66012.06178,434.109,68,,30,413
2032,754227.5889,66012.06178,502.109,68,,30,443
2033,814163.4441,59935.85522,570.109,68,,30,473
2034,874099.2993,59935.85522,638.109,68,,30,503
2035,941138.6509,67039.35151,706.109,68,504,25,528
2036,1008178.002,67039.35151,774.109,78,,25,553
2037,1086731.29,78553.28785,852.109,78,,25,578
2038,1165284.578,78553.28785,930.109,78,,25,603
2039,1252711.473,87426.89474,1008.109,78,,25,628
2040,1340138.368,87426.89474,1086.109,78,635,33,661
2041,1366396.669,26258.30132,1164.109,99,,33,694
2042,1392654.97,26258.30132,1263.109,99,,33,727
2043,1416251.699,23596.72896,1362.109,99,,33,760
2044,1439848.428,23596.72896,1461.109,99,,33,793
2045,1469462.421,29613.99335,1560.109,99,800,50,843
2046,1499076.415,29613.99335,1659.109,169,,50,893
2047,1534280.042,35203.62713,1828.109,169,,50,943
2048,1569483.669,35203.62713,1997.109,169,,50,993
2049,1620517.425,51033.75604,2166.109,169,,50,1043
2050,1671551.181,51033.75604,2392,169,1045,50,1093
2051,,,,,,,
2052,,,,,,,
2053,,,,,,,
2054,,,,,,,
2055,,,,,,,
2056,,,,,,,
2057,,,,,,,
2058,,,,,,,
2059,,,,,,,
2060,,,,,,,
2061,,,,,,,
2062,,,,,,,
2063,,,,,,,
2064,,,,,,,
2065,,,,,,,
2066,,,,,,,
2067,,,,,,,
2068,,,,,,,
2069,,,,,,,
2070,,,,,,,
2071,,,,,,,
2072,,,,,,,
2073,,,,,,,
2074,,,,,,,
2075,,,,,,,
2076,,,,,,,
2077,,,,,,,
2078,,,,,,,
2079,,,,,,,
2080,,,,,,,
2081,,,,,,,
2082,,,,,,,
2083,,,,,,,
2084,,,,,,,
2085,,,,,,,
2086,,,,,,,
2087,,,,,,,
2088,,,,,,,
2089,,,,,,,
2090,,,,,,,
2091,,,,,,,
2092,,,,,,,
2093,,,,,,,
2094,,,,,,,
2095,,,,,,,
2096,,,,,,,
2097,,,,,,,
2098,,,,,,,
2099,,,,,,,
2100,,,,,,,
