,0
1995,180.0
1996,186.48000000000002
1997,192.96
1998,199.44
1999,205.92000000000002
2000,212.39999999999998
2001,218.87999999999997
2002,225.35999999999999
2003,231.83999999999997
2004,238.04215328467149
2005,244.2271062271062
2006,270.84237132352933
2007,297.39114391143914
2008,323.87268518518516
2009,350.28624535315987
2010,376.6310634328357
2011,402.9063670411984
2012,424.8202584586465
2013,446.1403773584906
2014,450.12000000000006
2015,469.0487196911197
2016,488.55303370786515
2017,480.4229166666667
2018,472.89833333333337
2019,463.21200000000005
2020,432.53279999999995
2021,410.94399999999996
2022,400.03860000000003
2023,389.1656
2024,383.1525
2025,377.16319999999996
2026,362.01006666666666
2027,346.8453333333333
2028,331.669
2029,314.73022222222227
2030,297.7838888888889
2031,280.83
2032,
2033,
2034,
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,
2043,
2044,
2045,
2046,
2047,
2048,
2049,
2050,
