Year,Hallam 2022_LearningRate10%_Industry [tonnes],Hallam 2022_LearningRate10%_Ntype [tonnes],Wang 2023_1.5C_min [tonnes],Wang 2023_1.5C_median [tonnes],Wang 2023_1.5C_max [tonnes],Wang 2023_2C_min [tonnes],Wang 2023_2C_median [tonnes],Wang 2023_2C_max [tonnes],Gervais 2021_ScenarioA [tonnes],Gervais 2021_IEA8TW_PERCmoderate [tonnes,Gervais 2021_70TW_PERCmoderate,Gervais 2021_70TW_PERCinnovative
2020,2616.346416,2698.197738,2100,2970,7560,1050,1840,5100,15546.71968,14187.21461,40054.79452,37703.19635
2021,4736.815209,4736.900382,,,,,,,15546.71968,14187.21461,40054.79452,37703.19635
2022,5958.02671,6039.963205,,,,,,,15546.71968,14187.21461,40054.79452,37703.19635
2023,7015.535568,7097.046198,,,,,,,15546.71968,14187.21461,40054.79452,37703.19635
2024,7745.979831,8400.109022,,,,,,,15546.71968,14187.21461,40054.79452,37703.19635
2025,8803.318343,10275.36454,,,,,,,17017.89264,14187.21461,85675.79909,48990.86758
2026,10923.95748,14031.15631,,,,,,,17017.89264,14187.21461,85675.79909,48990.86758
2027,13371.49087,18359.31112,,,,,,,17017.89264,14187.21461,85675.79909,48990.86758
2028,15573.72581,22769.31725,,,,,,,17017.89264,14187.21461,85675.79909,48990.86758
2029,17694.1946,26361.49155,,,,,,,17017.89264,14187.21461,85675.79909,48990.86758
2030,19487.5988,29299.62183,,,,,,,17733.59841,13246.57534,111543.379,
2031,19972.74462,30520.74816,,,,,,,17733.59841,13246.57534,111543.379,
2032,20294.52848,31087.40461,,,,,,,17733.59841,13246.57534,111543.379,
2033,20615.97165,31654.14623,,,,,,,17733.59841,13246.57534,111543.379,
2034,21101.11747,32221.39888,,,,,,,17733.59841,13246.57534,111543.379,
2035,21586.26329,33115.37544,,,,,,,17216.6998,12776.25571,122360.7306,
2036,23297.90134,35808.1221,,,,,,,17216.6998,12776.25571,122360.7306,
2037,25418.19978,38746.25238,,,,,,,17216.6998,12776.25571,122360.7306,
2038,27129.923,41602.61652,,,,,,,17216.6998,12776.25571,122360.7306,
2039,29086.77433,44377.29967,,,,,,,17216.6998,12776.25571,122360.7306,
2040,30389.92232,46742.98174,,,,,,,16699.80119,13716.89498,128945.2055,
2041,30874.98297,47391.65985,,,,,,,16699.80119,13716.89498,128945.2055,
2042,31033.14936,47631.50722,,,,,,,16699.80119,13716.89498,128945.2055,
2043,31272.91156,47953.12074,,,,,,,16699.80119,13716.89498,128945.2055,
2044,31512.8441,48192.96811,,,,,,,16699.80119,13716.89498,128945.2055,
2045,32079.67089,49332.24312,,,,,,,15228.62823,14657.53425,142114.1553,
2046,35181.33347,53823.93023,,,,,,,15228.62823,14657.53425,142114.1553,
2047,38446.44317,59214.87463,,,,,,,15228.62823,14657.53425,142114.1553,
2048,41793.4042,64115.47765,,,,,,,15228.62823,14657.53425,142114.1553,
2049,44976.83292,69015.9955,,,,,,,15228.62823,14657.53425,142114.1553,
2050,48242.11297,73671.5556,,,,,,,,,,
