Year,ag_g_per_m2
1995,88.0
1996,84.57142857142857
1997,81.14285714285714
1998,77.71428571428571
1999,74.28571428571429
2000,45.34857142857143
2001,43.15428571428571
2002,40.959999999999994
2003,38.76571428571428
2004,36.57142857142857
2005,34.37714285714285
2006,32.182857142857145
2007,29.988571428571426
2008,27.794285714285714
2009,25.6
2010,12.32741617357002
2011,10.27284681130835
2012,8.21827744904668
2013,5.752794214332677
2014,5.341880341880342
2015,4.520052596975674
2016,4.099757008949016
2017,4.079706754261418
2018,4.3143250717191455
2019,4.1223937921719225
2020,3.392034741954902
2021,6.0640035275966415
2022,4.023144278707809
2023,3.283325882795294
2024,3.283325882795294
2025,3.283325882795294
2026,3.283325882795294
2027,3.283325882795294
2028,3.283325882795294
2029,3.283325882795294
2030,3.283325882795294
2031,3.283325882795294
2032,3.283325882795294
2033,3.283325882795294
2034,3.283325882795294
2035,3.283325882795294
2036,3.283325882795294
2037,3.283325882795294
2038,3.283325882795294
2039,3.283325882795294
2040,3.283325882795294
2041,3.283325882795294
2042,3.283325882795294
2043,3.283325882795294
2044,3.283325882795294
2045,3.283325882795294
2046,3.283325882795294
2047,3.283325882795294
2048,3.283325882795294
2049,3.283325882795294
2050,3.283325882795294
