,E_mfg_kWhpkg,E_mfg_fuelfraction
1995,12.02,73.7
1996,12.02,73.7
1997,12.02,73.7
1998,12.02,73.7
1999,12.02,73.7
2000,12.02,73.7
2001,12.02,73.7
2002,12.02,73.7
2003,12.02,73.7
2004,12.02,73.7
2005,12.02,73.7
2006,12.02,73.7
2007,12.02,73.7
2008,12.02,73.7
2009,12.02,73.7
2010,12.02,73.7
2011,12.02,73.7
2012,12.02,73.7
2013,12.02,73.7
2014,12.02,73.7
2015,12.02,73.7
2016,12.02,73.7
2017,12.02,73.7
2018,12.02,73.7
2019,12.02,73.7
2020,12.02,73.7
2021,12.02,73.7
2022,12.02,73.7
2023,12.02,73.7
2024,12.02,73.7
2025,12.02,73.7
2026,12.02,73.7
2027,12.02,73.7
2028,12.02,73.7
2029,12.02,73.7
2030,12.02,73.7
2031,12.02,73.7
2032,12.02,73.7
2033,12.02,73.7
2034,12.02,73.7
2035,12.02,73.7
2036,12.02,73.7
2037,12.02,73.7
2038,12.02,73.7
2039,12.02,73.7
2040,12.02,73.7
2041,12.02,73.7
2042,12.02,73.7
2043,12.02,73.7
2044,12.02,73.7
2045,12.02,73.7
2046,12.02,73.7
2047,12.02,73.7
2048,12.02,73.7
2049,12.02,73.7
2050,12.02,73.7
