Year,slurry mc-Si,slurry mono,diamond mc-Si,diamond mono,Source
2010,100,100,0,0,"ITRPV 2012, Fig. 3"
2011,100,95,0,5,"ITRPV 2012, Fig. 3"
2012,100,90,0,10,"ITRPV 2013, Fig. 5"
2013,100,85,0,15,"ITRPV 2014, Fig. 5"
2014,98,,2,,"ITRPV 2015, Fig. 4"
2015,95,65,5,35,"ITRPV 2016, Fig. 5 a&b"
2016,94,45,6,55,"ITRPV 2017, Fig. 6&7"
2017,68,15,32,85,"ITRPV 2018, Fig. 4&5"
2018,0,0,100,100,"ITRPV 2019, Fig. 3&4"
