,,REGION,,,,,,,,,,,,
From,To,Africa & Asia (ex China),,North America,,South America,,Europe,,Oceania,,China,,World
1/1/1995,1/1/1996,15065,,12528,,12794,,12094,,12301,,,,12621
1/1/1996,1/1/1997,16455,,12668,,12580,,11987,,12213,,,,12637
1/1/1997,1/1/1998,16356,,11356,,12052,,12191,,12269,,,,12339
1/1/1998,1/1/1999,17468,,11025,,12144,,13031,,12126,,40632,,14919
1/1/1999,1/1/2000,17106,,11273,,11709,,12883,,11964,,38278,,14774
1/1/2000,1/1/2001,16687,,11654,,11903,,12627,,11370,,35644,,14479
1/1/2001,1/1/2002,28080,,20448,,19915,,26066,,22250,,44746,,24931
1/1/2002,1/1/2003,12938,,11957,,11436,,13490,,11375,,33948,,14554
1/1/2003,1/1/2004,14536,,10927,,11112,,12312,,11745,,32612,,14193
1/1/2004,1/1/2005,12581,,10352,,10043,,12403,,11864,,30088,,13756
1/1/2005,1/1/2006,12788,,11385,,11190,,12510,,11444,,29348,,14133
1/1/2006,1/1/2007,19093,,12076,,11065,,17005,,11457,,23598,,15201
1/1/2007,1/1/2008,18057,,10961,,10741,,14628,,11230,,25522,,15934
1/1/2008,1/1/2009,16787,,10871,,10504,,15840,,11295,,23356,,15554
1/1/2009,1/1/2010,16955,,11819,,9554,,17137,,11203,,19385,,14647
1/1/2010,1/1/2011,16212,,12018,,9814,,14627,,10721,,18581,,14346
1/1/2011,1/1/2012,15491,,11262,,9043,,14274,,11411,,16640,,13759
1/1/2012,1/1/2013,15683,,11617,,8882,,13255,,10128,,17140,,13675
1/1/2013,1/1/2014,16642,,11451,,8847,,13791,,10508,,15523,,13260
1/1/2014,1/1/2015,15011,,11953,,8624,,13086,,10673,,13936,,12579
1/1/2015,1/1/2016,14786,,12158,,8974,,12979,,10450,,12524,,11933
1/1/2016,1/1/2017,15037,,11591,,8640,,12908,,10746,,11954,,11388
1/1/2017,1/1/2018,13099,,9879,,8591,,12807,,10600,,12054,,11564
1/1/2018,1/1/2019,12324,,9888,,9330,,13076,,10713,,11525,,11359
1/1/2019,1/1/2020,12852,,8938,,8951,,13456,,10417,,10378,,10736
1/1/2020,1/1/2021,12156,,10363,,8277,,13707,,10455,,10349,,10630
1/1/2021,1/1/2022,12659,,9366,,8108,,13132,,11040,,10055,,10545
