year,E_mining_Zn_Cd_[kWh/kg],Source,Notes
2000,1.007,"Rinne, Marja, Petteri Halli, Jari Aromaa, and Mari Lundström. “Alternative Method for Treating Electric Arc Furnace Dust: Simulation and Life Cycle Assessment.” Journal of Sustainable Metallurgy 8, no. 2 (June 1, 2022): 913–26. https://doi.org/10.1007/s40831-022-00531-x.","Waelz Kiln process (pyro?) dust handling, not included: methane burned"
2001,,,
2002,,,
2003,1.829,"Muica, Voicu-Teodor, Alexandru Ozunu, and Zoltàn Török. “Comparative Life Cycle Impact Assessment between the Productions of Zinc from Conventional Concentrates versus Waelz Oxides Obtained from Slags.” Sustainability 13, no. 2 (January 2021): 580. https://doi.org/10.3390/su13020580.",zinc concentrates - PYRO??
2004,,,
2005,,,
2006,,,
2007,0.0975,"Fthenakis, Vasilis, Wenming Wang, and Hyung Chul Kim. “Life Cycle Inventory Analysis of the Production of Metals Used in Photovoltaics.” Renewable and Sustainable Energy Reviews 13, no. 3 (April 1, 2009): 493–517. https://doi.org/10.1016/j.rser.2007.11.012.","section 3.9.1 mining energy, just Cd cost attribution"
2008,0.5,"Fthenakis, Vasilis, Wenming Wang, and Hyung Chul Kim. “Life Cycle Inventory Analysis of the Production of Metals Used in Photovoltaics.” Renewable and Sustainable Energy Reviews 13, no. 3 (April 1, 2009): 493–517. https://doi.org/10.1016/j.rser.2007.11.012.","Table 5, sum of elec, fuel oil for just Cd cost attribution"
2009,1.6678,"Fthenakis, Vasilis, Wenming Wang, and Hyung Chul Kim. “Life Cycle Inventory Analysis of the Production of Metals Used in Photovoltaics.” Renewable and Sustainable Energy Reviews 13, no. 3 (April 1, 2009): 493–517. https://doi.org/10.1016/j.rser.2007.11.012.","Table 5, sum elec fuel oil, all elements"
2010,,,
2011,,,
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,
2023,4.0417,"Rinne, Marja, Petteri Halli, Jari Aromaa, and Mari Lundström. “Alternative Method for Treating Electric Arc Furnace Dust: Simulation and Life Cycle Assessment.” Journal of Sustainable Metallurgy 8, no. 2 (June 1, 2022): 913–26. https://doi.org/10.1007/s40831-022-00531-x.","extracting from steel slag, supplemental (kiln), avg, electricity+methane, excluding coke"
2024,,,
2025,,,
2026,,,
2027,,,
2028,,,
2029,,,
2030,,,
2031,,,
2032,,,
2033,,,
2034,,,
2035,,,
2036,,,
2037,,,
2038,,,
2039,,,
2040,,,
2041,,,
2042,,,
2043,,,
2044,,,
2045,,,
2046,,,
2047,,,
2048,,,
2049,,,
2050,,,
