,Year,Technology,Market share
0,1995,c-Si (%),1.0
1,1996,c-Si (%),1.0
2,1997,c-Si (%),1.0
3,1998,c-Si (%),1.0
4,1999,c-Si (%),1.0
5,2000,c-Si (%),1.0
6,2001,c-Si (%),0.7436
7,2002,c-Si (%),1.0
8,2003,c-Si (%),1.0
9,2005,c-Si (%),1.0
10,2006,c-Si (%),1.0
11,2007,c-Si (%),1.0
12,2008,c-Si (%),0.6615
13,2009,c-Si (%),0.7171
14,2010,c-Si (%),0.5
15,2011,c-Si (%),0.875
16,2012,c-Si (%),0.6736
17,2013,c-Si (%),0.5631
18,2014,c-Si (%),0.6015
19,2015,c-Si (%),0.7283
20,2016,c-Si (%),0.8082
21,2017,c-Si (%),0.8314
22,2018,c-Si (%),0.7698
23,2019,c-Si (%),0.6666
24,2020,c-Si (%),0.7535
25,2021,c-Si (%),0.6955
26,1995,CdTe (%),0.0
27,1996,CdTe (%),0.0
28,1997,CdTe (%),0.0
29,1998,CdTe (%),0.0
30,1999,CdTe (%),0.0
31,2000,CdTe (%),0.0
32,2001,CdTe (%),0.2564
33,2002,CdTe (%),0.0
34,2003,CdTe (%),0.0
35,2005,CdTe (%),0.0
36,2006,CdTe (%),0.0
37,2007,CdTe (%),0.0
38,2008,CdTe (%),0.3385
39,2009,CdTe (%),0.2829
40,2010,CdTe (%),0.5
41,2011,CdTe (%),0.1086
42,2012,CdTe (%),0.3083
43,2013,CdTe (%),0.4282
44,2014,CdTe (%),0.3961
45,2015,CdTe (%),0.2625
46,2016,CdTe (%),0.1861
47,2017,CdTe (%),0.1575
48,2018,CdTe (%),0.1788
49,2019,CdTe (%),0.2983
50,2020,CdTe (%),0.2341
51,2021,CdTe (%),0.2823
