year,"Kynar
(PVDF-PET-EVA)","Tedlar based 
(TPA, TPT)","Other
(PPE, CPC, glass)","PO
(Polyolefin-core based)","APA
(Polyamid-PET-Polyamid)","TPA
(Tedlar-PET-Polyamid)",PET,"TPT 
(Tedlar-Polyester-Tedlar)",Source,Notes
2014,,,,,6,45,40,5,"ITRPV 2015, Fig. 11",4% glass
2015,,,,,,,,,,
2016,4,76,4,5,11,8,,68,"ITRPV 2017, Fig. 17",
2017,8,86,0,2,4,13,,73,"ITRPV 2018, Fig. 17",
2018,8,68,17,3,4,13,,55,ITRPV 2019 Fig. 16b,*combined 2 tedlar techs 55+13=68
2019,55,27,14,4,,,,,ITRPV 2020 Fig. 52,*PET core will stay dominant
2020,56,26,13,5,,,,,"ITRPV 2021, Fig. 46",
2021,45,28,22,5,,,,,"ITRPV 2022, Fig 46",
2022,45,26,21,8,,,,,"ITRPV 2022, Fig 46",
2023,,,,,,,,,,
2024,45,20,27,8,,,,,"ITRPV 2022, Fig 46",
2025,,,,,,,,,,
2026,46,20,24,10,,,,,"ITRPV 2022, Fig 46",
2027,,,,,,,,,,
2028,,,,,,,,,,
2029,35,20,32,13,,,,,"ITRPV 2022, Fig 46",
2030,,,,,,,,,,
2031,,,,,,,,,,
2032,32,16,36,16,,,,,"ITRPV 2022, Fig 46",
