Year,avg_al_gpm2
2006,2438.13
2007,2686.73
2008,1826.82
2009,
2010,2250.65
2011,1885.12
2012,1923.63
2013,1853.31
2014,1641.14
2015,1839.32
2016,1688.23
2017,1670.89
2018,1615.33
2019,1553.01
2020,1573.85
2021,1579.96
