,,,REGION,,,,,,,,,,,,,,,,
From,To,Type,Africa,,North America,,South America,,Asia (ex China),,Europe,,Oceania,,Gulf Cooperation Council,,China,,World
1/1/1995,1/1/1996,Total Energy (AC),15817,,16048,,15607,,16114,,15603,,15238,,,,16600,,15878
1/1/1995,1/1/1996,Process Energy (DC),,,,,,,,,,,,,,,14530,,
1/1/1996,1/1/1997,Total Energy (AC),15238,,15984,,15678,,15821,,15440,,15231,,,,16065,,15718
1/1/1996,1/1/1997,Process Energy (DC),,,,,,,,,,,,,,,14487,,
1/1/1997,1/1/1998,Total Energy (AC),15132,,15985,,15654,,15765,,15619,,15187,,,,15858,,15711
1/1/1997,1/1/1998,Process Energy (DC),,,,,,,,,,,,,,,14178,,
1/1/1998,1/1/1999,Total Energy (AC),15084,,15940,,15958,,15831,,15548,,15259,,,,15473,,15679
1/1/1998,1/1/1999,Process Energy (DC),,,,,,,,,,,,,,,14123,,
1/1/1999,1/1/2000,Total Energy (AC),15024,,15371,,15340,,15323,,15193,,14852,,,,15603,,15282
1/1/1999,1/1/2000,Process Energy (DC),,,,,,,,,,,,,,,14342,,
1/1/2000,1/1/2001,Total Energy (AC),15068,,15772,,15357,,15348,,15242,,14679,,,,15479,,15381
1/1/2000,1/1/2001,Process Energy (DC),,,,,,,,,,,,,,,14214,,
1/1/2001,1/1/2002,Total Energy (AC),14916,,15201,,15275,,15387,,15258,,14791,,,,15470,,15221
1/1/2001,1/1/2002,Process Energy (DC),,,,,,,,,,,,,,,13734,,
1/1/2002,1/1/2003,Total Energy (AC),14597,,15224,,15307,,15366,,15351,,14506,,,,15362,,15186
1/1/2002,1/1/2003,Process Energy (DC),,,,,,,,,,,,,,,13781,,
1/1/2003,1/1/2004,Total Energy (AC),14321,,15529,,15359,,15413,,15139,,14782,,,,15026,,15160
1/1/2003,1/1/2004,Process Energy (DC),,,,,,,,,,,,,,,13672,,
1/1/2004,1/1/2005,Total Energy (AC),14337,,15613,,15551,,15427,,15275,,14768,,,,14794,,15145
1/1/2004,1/1/2005,Process Energy (DC),,,,,,,,,,,,,,,13584,,
1/1/2005,1/1/2006,Total Energy (AC),14158,,15552,,15152,,15082,,15536,,14763,,,,14574,,15080
1/1/2005,1/1/2006,Process Energy (DC),,,,,,,,,,,,,,,13524,,
1/1/2006,1/1/2007,Total Energy (AC),14622,,15563,,15238,,15314,,15688,,14854,,,,14697,,15206
1/1/2006,1/1/2007,Process Energy (DC),13663,,14638,,15016,,14258,,14908,,14015,,,,13524,,14286
1/1/2007,1/1/2008,Total Energy (AC),14597,,15421,,15085,,15174,,15664,,14871,,,,14441,,15035
1/1/2007,1/1/2008,Process Energy (DC),13773,,14644,,14742,,14206,,14676,,14066,,,,13413,,14129
1/1/2008,1/1/2009,Total Energy (AC),14550,,15498,,15598,,15035,,15680,,14736,,,,14283,,15010
1/1/2008,1/1/2009,Process Energy (DC),13520,,14676,,14748,,14291,,14720,,14032,,,,13333,,14116
1/1/2009,1/1/2010,Total Energy (AC),14716,,15006,,15498,,14734,,15596,,14424,,14760,,14171,,14795
1/1/2009,1/1/2010,Process Energy (DC),13921,,14503,,14519,,13868,,14702,,14090,,14086,,13118,,13943
1/1/2010,1/1/2011,Total Energy (AC),14619,,15120,,15739,,14899,,15838,,14846,,14758,,13979,,14777
1/1/2010,1/1/2011,Process Energy (DC),13866,,14455,,14591,,14070,,14666,,14015,,13963,,13084,,13858
1/1/2011,1/1/2012,Total Energy (AC),14433,,15409,,16075,,14756,,15645,,15003,,14654,,13913,,14711
1/1/2011,1/1/2012,Process Energy (DC),13807,,14592,,14973,,13983,,14648,,14074,,13947,,13082,,13854
1/1/2012,1/1/2013,Total Energy (AC),14774,,15458,,15912,,14939,,15699,,14911,,14480,,13844,,14638
