,Nameplate Capacity (MW),cSi Market Share,CdTe Market Share,cSi Capacity (MW),CdTe Capacity (MW)
1995,12.5,1.0,0.0,12.5,0.0
1996,9.7,1.0,0.0,9.7,0.0
1997,11.7,0.99,0.0,11.582999999999998,0.0
1998,11.9,0.99,0.0,11.781,0.0
1999,17.2,0.98,0.0,16.855999999999998,0.0
2000,21.5,0.97,0.0,20.855,0.0
2001,29.0,0.96,0.0,27.84,0.0
2002,44.4,0.96,0.0,42.623999999999995,0.0
2003,63.0,0.95,0.0,59.849999999999994,0.0
2004,100.8,0.94,0.0,94.752,0.0
2005,103.0,0.94,0.0,96.82,0.0
2006,105.0,0.94,0.0,98.69999999999999,0.0
2007,347.5,0.93,0.0,323.175,0.0
2008,338.0,0.93,0.03,314.34000000000003,10.139999999999999
2009,464.5,0.93,0.04,431.985,18.580000000000002
2010,848.588,0.85,0.14,721.2998,118.80232000000001
2011,1920.51,0.93,0.06,1786.0743,115.2306
2012,3373.427,0.91,0.07,3069.8185700000004,236.13989000000004
2013,4765.802,0.85,0.1,4050.9316999999996,476.5802
2014,6243.873,0.6,0.35,3746.3237999999997,2185.3555499999998
2015,7500.642,0.91,0.07,6825.58422,525.04494
2016,15095.64,0.85,0.11,12831.294,1660.5203999999999
2017,10969.09,0.89,0.08,9762.4901,877.5272
2018,10740.38,0.87,0.09,9344.130599999999,966.6341999999999
2019,13385.9,0.82,0.12,10976.437999999998,1606.308
2020,19221.0,0.81,0.15,15569.01,2883.15
2021,23565.0,0.84,0.16,19794.6,3770.4
2022,15000.0,0.84,0.16,12600.0,2400.0
2023,23596.72896,0.84,0.16,19821.2523264,3775.4766336000002
2024,23596.72896,0.84,0.16,19821.2523264,3775.4766336000002
2025,24236.41597,0.84,0.16,20358.589414799997,3877.8265552
2026,24236.41597,0.84,0.16,20358.589414799997,3877.8265552
2027,26258.30132,0.84,0.16,22056.973108799997,4201.3282112
2028,26258.30132,0.84,0.16,22056.973108799997,4201.3282112
2029,29613.99335,0.84,0.16,24875.754414,4738.238936000001
2030,29613.99335,0.84,0.16,24875.754414,4738.238936000001
2031,35203.62713,0.84,0.16,29571.046789199998,5632.5803408
2032,35203.62713,0.84,0.16,29571.046789199998,5632.5803408
2033,51033.75604,0.84,0.16,42868.355073599996,8165.4009664000005
2034,51033.75604,0.84,0.16,42868.355073599996,8165.4009664000005
2035,57401.30156,0.84,0.16,48217.0933104,9184.2082496
2036,57401.30156,0.84,0.16,48217.0933104,9184.2082496
2037,59935.85522,0.84,0.16,50346.11838479999,9589.7368352
2038,59935.85522,0.84,0.16,50346.11838479999,9589.7368352
2039,66012.06178,0.84,0.16,55450.1318952,10561.929884800002
2040,66012.06178,0.84,0.16,55450.1318952,10561.929884800002
2041,67039.35151,0.84,0.16,56313.05526839999,10726.2962416
2042,67039.35151,0.84,0.16,56313.05526839999,10726.2962416
2043,74146.08849,0.84,0.16,62282.71433159999,11863.3741584
2044,74146.08849,0.84,0.16,62282.71433159999,11863.3741584
2045,78553.28785,0.84,0.16,65984.76179399999,12568.526055999999
2046,78553.28785,0.84,0.16,65984.76179399999,12568.526055999999
2047,81197.98651,0.84,0.16,68206.3086684,12991.677841600002
2048,81197.98651,0.84,0.16,68206.3086684,12991.677841600002
2049,87426.89474,0.84,0.16,73438.5915816,13988.3031584
2050,87426.89474,0.84,0.16,73438.5915816,13988.3031584
