,year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
0,year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
0,1995,0.3853143,12.5,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1,1996,0.4343171999999999,12.7,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2,1997,0.6310127999999999,12.88,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
3,1998,0.7609271999999999,13.06,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
4,1999,1.0222095,13.24,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
5,2000,1.425627,13.42,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
6,2001,1.4763654359999998,13.6,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
7,2002,1.851408678,13.72222222,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
8,2003,2.86250979,13.84444444,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
9,2004,5.882368649999999,13.96666667,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
10,2005,8.004814493999998,14.08888889,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
11,2006,8.156325338999999,14.21111111,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
12,2007,12.226594563,14.33333333,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
13,2008,29.547973329,14.45555556,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
14,2009,37.5101071236,14.57777778,24.0,26.0,0.75,21.6,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
15,2010,84.74108672399998,14.7,25.0,27.0,0.75,22.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
16,2011,158.24921987099998,15.1,26.5,29.0,0.75,23.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
17,2012,154.15010591099997,15.4,25.0,30.0,0.75,23.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
18,2013,192.041694552,16.0,27.6,30.2,0.75,24.2,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
19,2014,210.194332305,16.3,29.5,32.0,0.75,26.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
20,2015,256.25430885299994,17.0,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
21,2016,389.2574567159999,17.5,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
22,2017,522.6652537919999,17.7,32.6,35.0,3.0,29.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
23,2018,526.374353004,18.4,33.8,36.0,3.0,31.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
24,2019,553.307241003,19.2,35.0,37.0,3.0,32.4,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
25,2020,575.358,20.0,39.0,42.0,3.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
26,2021,626.5668,20.9,39.0,42.0,3.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
27,2022,682.3299,21.1,39.0,42.0,3.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
28,2023,743.0577,21.86075153,39.0,42.0,3.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
29,2024,809.1890999999999,22.31841513,39.0,42.0,3.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
30,2025,881.2085999999999,22.64893163,39.0,42.0,3.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
31,2026,959.6349,22.90866717,39.0,42.0,3.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
32,2027,1045.0437,23.1230961,41.0,44.0,3.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
