,year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
0,year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
0,1995,5.7526749,12.5,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1,1996,6.4842796,12.7,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2,1997,9.4209104,12.88,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
3,1998,11.3605096,13.06,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
4,1999,15.2614085,13.24,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
5,2000,21.284361,13.42,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
6,2001,22.041876948,13.6,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
7,2002,27.641206754,13.72222222,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
8,2003,42.73676897,13.84444444,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
9,2004,87.82273194999999,13.96666667,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
10,2005,119.51047604199998,14.08888889,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
11,2006,121.77250637699998,14.21111111,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
12,2007,182.540911809,14.33333333,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
13,2008,441.146057947,14.45555556,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
14,2009,560.0193186348,14.57777778,24.0,26.0,0.75,21.6,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
15,2010,1265.169557932,14.7,25.0,27.0,0.75,22.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
16,2011,2362.633089653,15.1,26.5,29.0,0.75,23.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
17,2012,2301.434037373,15.4,25.0,30.0,0.75,23.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
18,2013,2867.148808136,16.0,27.6,30.2,0.75,24.2,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
19,2014,3138.164505115,16.3,29.5,32.0,0.75,26.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
20,2015,3825.8318742789993,17.0,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
21,2016,5811.545537988,17.5,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
22,2017,7803.300543455999,17.7,32.6,35.0,1.2,29.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
23,2018,7858.676743972,18.4,33.8,36.0,1.2,31.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
24,2019,8260.780036729,19.2,35.0,37.0,1.2,32.4,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
25,2020,8589.993999999999,20.0,39.0,42.0,1.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
26,2021,9354.5324,20.9,39.0,42.0,1.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
27,2022,10187.0657,21.1,39.0,42.0,1.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
28,2023,11093.7211,21.86075153,39.0,42.0,1.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
29,2024,12081.0513,22.31841513,39.0,42.0,1.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
30,2025,13156.2898,22.64893163,39.0,42.0,1.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
31,2026,14327.1807,22.90866717,39.0,42.0,1.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
32,2027,15602.3191,23.1230961,41.0,44.0,1.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
33,2028,16990.8958,23.3059583,41.0,44.0,1.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
34,2029,18503.1228,23.46552924,41.0,44.0,1.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
35,2030,20149.8929,23.6071874,41.0,44.0,1.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
36,2031,21943.2052,23.73462942,41.0,44.0,1.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
37,2032,23896.1651,23.85050733,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
38,2033,26022.8992,23.9567895,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
39,2034,28338.9808,24.05497781,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
40,2035,30861.0895,24.14624472,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
41,2036,33607.7771,24.23152341,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
42,2037,36598.8719,24.31156892,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
43,2038,39856.1595,24.38700095,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
44,2039,43403.2977,24.4583345,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
45,2040,47266.242,24.52600228,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
46,2041,51472.9052,24.5903714,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
47,2042,56054.0084,24.65175604,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
48,2043,61042.8257,24.71042724,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
49,2044,66475.6097,24.7666204,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
50,2045,72391.9319,24.82054137,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
51,2046,78834.8529,24.87237115,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
52,2047,85851.1777,24.92226981,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
53,2048,93491.8812,24.97037955,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
54,2049,101812.7039,25.01682731,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
55,2050,110873.9817,25.06172689,41.0,44.0,1.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
