,year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
0,year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
0,1995,2.3659650000000005,12.5,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1,1996,2.66686,12.7,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2,1997,3.87464,12.88,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
3,1998,4.672360000000001,13.06,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
4,1999,6.276725000000001,13.24,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
5,2000,8.753850000000002,13.42,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
6,2001,9.065401800000002,13.6,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
7,2002,11.3682989,13.72222222,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
8,2003,17.5768145,13.84444444,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
9,2004,36.11980750000001,13.96666667,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
10,2005,49.1523697,14.08888889,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
11,2006,50.08269945000001,14.21111111,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
12,2007,75.07558065000002,14.33333333,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
13,2008,181.43492395000004,14.45555556,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
14,2009,230.32521918000003,14.57777778,24.0,26.0,0.75,21.6,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
15,2010,520.3400062000001,14.7,25.0,27.0,0.75,22.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
16,2011,971.70573605,15.1,26.5,29.0,0.75,23.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
17,2012,946.53573805,15.4,25.0,30.0,0.75,23.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
18,2013,1179.2033876,16.0,27.6,30.2,0.75,24.2,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
19,2014,1290.66695275,16.3,29.5,32.0,0.75,26.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
20,2015,1573.49137015,17.0,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
21,2016,2390.1773658,17.5,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
22,2017,3209.3480496,17.7,32.6,35.0,2.0,29.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
23,2018,3232.123220200001,18.4,33.8,36.0,2.0,31.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
24,2019,3397.5006026500005,19.2,35.0,37.0,2.0,32.4,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
25,2020,3532.9000000000005,20.0,39.0,42.0,2.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
26,2021,3847.34,20.9,39.0,42.0,2.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
27,2022,4189.745000000001,21.1,39.0,42.0,2.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
28,2023,4562.635,21.86075153,39.0,42.0,2.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
29,2024,4968.705000000001,22.31841513,39.0,42.0,2.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
30,2025,5410.93,22.64893163,39.0,42.0,2.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
31,2026,5892.495000000001,22.90866717,39.0,42.0,2.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
32,2027,6416.935,23.1230961,41.0,44.0,2.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
33,2028,6988.030000000001,23.3059583,41.0,44.0,2.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
34,2029,7609.98,23.46552924,41.0,44.0,2.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
35,2030,8287.265000000001,23.6071874,41.0,44.0,2.0,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
