,year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
0,year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
0,1995,0.9193464,12.5,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1,1996,1.0362656,12.7,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2,1997,1.5055744,12.88,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
3,1998,1.8155456000000003,13.06,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
4,1999,2.438956,13.24,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
5,2000,3.4014960000000003,13.42,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
6,2001,3.522556128,13.6,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
7,2002,4.4173961440000005,13.72222222,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
8,2003,6.829847920000001,13.84444444,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
9,2004,14.0351252,13.96666667,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
10,2005,19.099206512,14.08888889,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
11,2006,19.460706072,14.21111111,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
12,2007,29.172225624000003,14.33333333,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
13,2008,70.50042759200001,14.45555556,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
14,2009,89.49779945280001,14.57777778,24.0,26.0,0.75,21.6,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
15,2010,202.189259552,14.7,25.0,27.0,0.75,22.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
16,2011,377.577086008,15.1,26.5,29.0,0.75,23.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
17,2012,367.796743928,15.4,25.0,30.0,0.75,23.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
18,2013,458.204744896,16.0,27.6,30.2,0.75,24.2,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
19,2014,501.51630164,16.3,29.5,32.0,0.75,26.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
20,2015,611.413789544,17.0,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
21,2016,928.754633568,17.5,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
22,2017,1247.060956416,17.7,32.6,35.0,2.4,29.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
23,2018,1255.9107369920002,18.4,33.8,36.0,2.4,31.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
24,2019,1320.171662744,19.2,35.0,37.0,2.4,32.4,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
25,2020,1372.784,20.0,39.0,42.0,2.4,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
26,2021,1494.9664,20.9,39.0,42.0,2.4,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
27,2022,1628.0152,21.1,39.0,42.0,2.4,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
28,2023,1772.9096000000002,21.86075153,39.0,42.0,2.4,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
29,2024,1930.6968,22.31841513,39.0,42.0,2.4,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
30,2025,2102.5328,22.64893163,39.0,42.0,2.4,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
31,2026,2289.6552,22.90866717,39.0,42.0,2.4,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
32,2027,2493.4376,23.1230961,41.0,44.0,2.4,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
33,2028,2715.3488,23.3059583,41.0,44.0,2.4,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
