,year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ,e_mat_Recycled_HQ_fuelfraction
0,year,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%
0,1995,0.02,260,25,8,1,0.09,0,0,8,1,0
1,1996,0.02,260,25,8,1,0.09,0,0,8,1,0
2,1997,0.02,260,25,8,1,0.09,0,0,8,1,0
3,1998,0.02,260,25,8,1,0.09,0,0,8,1,0
4,1999,0.02,260,25,8,1,0.09,0,0,8,1,0
5,2000,0.02,260,25,8,1,0.09,0,0,8,1,0
6,2001,0.02,260,25,8,1,0.09,0,0,8,1,0
7,2002,0.02,260,25,8,1,0.09,0,0,8,1,0
8,2003,0.02,260,25,8,1,0.09,0,0,8,1,0
9,2004,0.02,260,25,8,1,0.09,0,0,8,1,0
10,2005,0.02,260,25,8,1,0.09,0,0,8,1,0
11,2006,0.02,260,25,8,1,0.09,0,0,8,1,0
12,2007,0.02,260,25,8,1,0.09,0,0,8,1,0
13,2008,0.02,260,25,8,1,0.09,0,0,8,1,0
14,2009,0.02,260,25,8,1,0.09,0,0,8,1,0
15,2010,0.02,260,25,8,1,0.09,0,0,8,1,0
16,2011,0.02,260,25,8,1,0.09,0,0,8,1,0
17,2012,0.02,260,25,8,1,0.09,0,0,8,1,0
18,2013,0.02,260,25,8,1,0.09,0,0,8,1,0
19,2014,0.02,260,25,8,1,0.09,0,0,8,1,0
20,2015,0.02,260,25,8,1,0.09,0,0,8,1,0
21,2016,0.02,260,25,8,1,0.09,0,0,8,1,0
22,2017,0.02,260,25,8,1,0.09,0,0,8,1,0
23,2018,0.02,260,25,8,1,0.09,0,0,8,1,0
24,2019,0.02,260,25,8,1,0.09,0,0,8,1,0
25,2020,0.02,260,25,8,1,0.09,0,0,8,1,0
26,2021,0.02,260,25,8,1,0.09,0,0,8,1,0
27,2022,0.02,260,25,8,1,0.09,0,0,8,1,0
28,2023,0.02,260,25,8,1,0.09,0,0,8,1,0
29,2024,0.02,260,25,8,1,0.09,0,0,8,1,0
30,2025,0.02,260,25,8,1,0.09,0,0,8,1,0
31,2026,0.02,260,25,8,1,0.09,0,0,8,1,0
32,2027,0.02,260,25,8,1,0.09,0,0,8,1,0
33,2028,0.02,260,25,8,1,0.09,0,0,8,1,0
34,2029,0.02,260,25,8,1,0.09,0,0,8,1,0
35,2030,0.02,260,25,8,1,0.09,0,0,8,1,0
36,2031,0.02,260,25,8,1,0.09,0,0,8,1,0
37,2032,0.02,260,25,8,1,0.09,0,0,8,1,0
38,2033,0.02,260,25,8,1,0.09,0,0,8,1,0
39,2034,0.02,260,25,8,1,0.09,0,0,8,1,0
40,2035,0.02,260,25,8,1,0.09,0,0,8,1,0
41,2036,0.02,260,25,8,1,0.09,0,0,8,1,0
42,2037,0.02,260,25,8,1,0.09,0,0,8,1,0
43,2038,0.02,260,25,8,1,0.09,0,0,8,1,0
44,2039,0.02,260,25,8,1,0.09,0,0,8,1,0
45,2040,0.02,260,25,8,1,0.09,0,0,8,1,0
46,2041,0.02,260,25,8,1,0.09,0,0,8,1,0
47,2042,0.02,260,25,8,1,0.09,0,0,8,1,0
48,2043,0.02,260,25,8,1,0.09,0,0,8,1,0
49,2044,0.02,260,25,8,1,0.09,0,0,8,1,0
50,2045,0.02,260,25,8,1,0.09,0,0,8,1,0
51,2046,0.02,260,25,8,1,0.09,0,0,8,1,0
52,2047,0.02,260,25,8,1,0.09,0,0,8,1,0
53,2048,0.02,260,25,8,1,0.09,0,0,8,1,0
54,2049,0.02,260,25,8,1,0.09,0,0,8,1,0
55,2050,0.02,260,25,8,1,0.09,0,0,8,1,0
