,year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ,e_mat_Recycled_HQ_fuelfraction
0,year,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%
0,1995,16.65,2.322377942,51.92976595,1.9441,14.67,0.09,0,0,1.9441,14.67,83
1,1996,16.65,2.322377942,51.92976595,1.9441,14.67,0.09,0,0,1.9441,14.67,83
2,1997,16.65,2.322377942,51.92976595,1.9441,14.67,0.09,0,0,1.9441,14.67,83
3,1998,16.65,2.322377942,51.92976595,1.9441,14.67,0.09,0,0,1.9441,14.67,83
4,1999,16.65,2.322377942,51.92976595,1.998056538,14.67,0.09,0,0,1.998056538,14.67,83
5,2000,16.65,2.322377942,51.92976595,2.052013076,14.67,0.09,0,0,2.052013076,14.67,83
6,2001,16.65,2.41608593,51.25075402,2.105969614,14.67,0.09,0,0,2.105969614,14.67,83
7,2002,16.65,2.509793919,50.47964229,2.159926152,14.67,0.09,0,0,2.159926152,14.67,83
8,2003,16.65,2.603501908,49.62637562,2.21388269,14.67,0.09,0,0,2.21388269,14.67,83
9,2004,16.65,2.697209897,48.69951684,2.213494117,14.67,0.09,0,0,2.213494117,14.67,83
10,2005,16.65,2.790917886,47.70647873,2.213105544,14.67,0.09,0,0,2.213105544,14.67,83
11,2006,16.65,2.884625874,46.65371087,2.21271697,14.67,0.09,0,0,2.21271697,14.67,83
12,2007,16.65,2.978333863,45.54685114,2.212328397,14.67,0.09,0,0,2.212328397,14.67,83
13,2008,16.65,3.072041852,44.39084949,2.211939824,14.67,0.09,0,0,2.211939824,14.67,83
14,2009,16.65,3.165749841,43.19006983,2.211551251,14.67,0.09,0,0,2.211551251,14.67,83
15,2010,16.65,3.259457829,41.94837419,2.211162678,14.67,0.09,0,0,2.211162678,14.67,83
16,2011,16.65,3.353165818,40.6691929,2.210774105,14.67,0.09,0,0,2.210774105,14.67,83
17,2012,16.65,3.446873807,39.35558326,2.210385531,14.67,0.09,0,0,2.210385531,14.67,83
18,2013,16.65,3.540581796,38.0102789,2.209996958,14.67,0.09,0,0,2.209996958,14.67,83
19,2014,16.65,3.634289785,36.6357315,2.209608385,14.67,0.09,0,0,2.209608385,14.67,83
20,2015,16.65,3.727997773,35.23414625,2.209219812,14.67,0.09,0,0,2.209219812,14.67,83
21,2016,16.65,3.821705762,33.80751205,2.208831239,14.67,0.09,0,0,2.208831239,14.67,83
22,2017,16.65,3.915413751,32.3576274,2.208442666,14.67,0.09,0,0,2.208442666,14.67,83
23,2018,16.65,4.00912174,30.88612263,2.208054092,14.67,0.09,0,0,2.208054092,14.67,83
24,2019,16.65,4.102829729,29.39447916,2.207665519,14.67,0.09,0,0,2.207665519,14.67,83
25,2020,16.65,4.102829729,29.39447916,2.207276946,14.67,0.09,0,0,2.207276946,14.67,83
26,2021,16.65,4.102829729,29.39447916,2.206888373,14.67,0.09,0,0,2.206888373,14.67,83
27,2022,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
28,2023,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
29,2024,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
30,2025,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
31,2026,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
32,2027,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
33,2028,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
34,2029,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
35,2030,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
36,2031,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
37,2032,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
38,2033,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
39,2034,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
40,2035,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
41,2036,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
42,2037,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
43,2038,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
44,2039,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
45,2040,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
46,2041,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
47,2042,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
48,2043,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
49,2044,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
50,2045,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
51,2046,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
52,2047,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
53,2048,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
54,2049,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
55,2050,16.65,4.102829729,29.39447916,2.2064998,14.67,0.09,0,0,2.2064998,14.67,83
