,year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_PG3_ReMFG_target,mat_ReMFG_yield,mat_PG4_Recycling_target,mat_Recycling_yield,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
0,year,%,g,%,%,%,%,%,%,%,%,%,%,%
0,1995,18.6,3091.18541,99,100,60,100,100,0,0,100,42,100,100
1,1996,18.6,3017.416546,99,100,60,100,100,0,0,100,42,100,100
2,1997,18.6,2700.0,99,100,60,100,100,0,0,100,42,100,100
3,1998,18.6,2540.372671,99,100,60,100,100,0,0,100,42,100,100
4,1999,18.6,2484.698914,99,100,60,100,100,0,0,100,42,100,100
5,2000,18.6,2433.962264,99,100,60,100,100,0,0,100,42,100,100
6,2001,18.6,2387.533875,99,100,60,100,100,0,0,100,42,100,100
7,2002,18.6,2344.887348,99,100,60,100,100,0,0,100,42,100,100
8,2003,18.6,2317.892053,99,100,60,100,100,0,0,100,42,100,100
9,2004,18.6,2256.019262,99,100,60,100,100,0,0,100,42,100,100
10,2005,18.6,2113.832853,99,100,60,100,100,0,0,100,42,100,100
11,2006,18.6,2083.479481,99,100,60,100,100,0,0,100,42,100,100
12,2007,18.6,2054.68216,99,100,60,100,100,0,0,100,42,100,100
13,2008,18.6,2027.324225,99,100,60,100,100,0,0,100,42,100,100
14,2009,18.6,2001.30039,99,100,60,100,100,0,0,100,42,100,100
15,2010,18.6,1987.150659,99,100,60,100,100,0,0,100,42,100,100
16,2011,18.6,1966.59313,99,100,60,100,100,0,0,100,42,100,100
17,2012,18.6,1962.986198,99,100,60,100,100,0,0,100,42,100,100
18,2013,18.6,1619.458128,99,100,60,100,100,0,0,100,42,100,100
19,2014,18.6,1592.739726,99,100,60,100,100,0,0,100,42,100,100
20,2015,18.6,1495.242424,99,100,60,100,100,0,0,100,42,100,100
21,2016,18.6,1412.526316,99,100,60,100,100,0,0,100,42,100,100
22,2017,18.6,1379.820896,99,100,60,100,100,0,0,100,42,100,100
23,2018,18.6,1361.666667,99,100,60,100,100,0,0,100,42,100,100
24,2019,18.6,1343.647059,99,100,60,100,100,0,0,100,42,100,100
25,2020,18.6,1343.647059,99,100,60,100,100,0,0,100,42,100,100
26,2021,18.6,1272.176471,99,100,60,100,100,0,0,100,42,100,100
27,2022,18.6,1250.735294,99,100,60,100,100,0,0,100,42,100,100
28,2023,18.6,1229.294118,99,100,60,100,100,0,0,100,42,100,100
29,2024,18.6,1215.0,99,100,60,100,100,0,0,100,42,100,100
30,2025,18.6,1200.705882,99,100,60,100,100,0,0,100,42,100,100
31,2026,18.6,1191.176471,99,100,60,100,100,0,0,100,42,100,100
32,2027,18.6,1181.647059,99,100,60,100,100,0,0,100,42,100,100
33,2028,18.6,1172.117647,99,100,60,100,100,0,0,100,42,100,100
34,2029,18.6,1162.588235,99,100,60,100,100,0,0,100,42,100,100
35,2030,18.6,1153.058824,99,100,60,100,100,0,0,100,42,100,100
36,2031,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
37,2032,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
38,2033,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
39,2034,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
40,2035,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
41,2036,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
42,2037,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
43,2038,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
44,2039,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
45,2040,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
46,2041,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
47,2042,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
48,2043,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
49,2044,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
50,2045,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
51,2046,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
52,2047,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
53,2048,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
54,2049,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
55,2050,18.6,1143.529412,99,100,60,100,100,0,0,100,42,100,100
