,year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
0,year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
0,1995,1.5818165999999998,12.5,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1,1996,1.7829863999999995,12.7,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2,1997,2.5904736,12.88,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
3,1998,3.1238064,13.06,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
4,1999,4.196439,13.24,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
5,2000,5.852574,13.42,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
6,2001,6.060868631999999,13.6,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
7,2002,7.600519835999999,13.72222222,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
8,2003,11.75135598,13.84444444,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
9,2004,24.1486713,13.96666667,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
10,2005,32.86187002799999,14.08888889,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
11,2006,33.483861917999995,14.21111111,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
12,2007,50.193388206,14.33333333,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
13,2008,121.302206298,14.45555556,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
14,2009,153.9888608232,14.57777778,24.0,26.0,0.75,21.6,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
15,2010,347.88446128799995,14.7,25.0,27.0,0.75,22.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
16,2011,649.6546921019999,15.1,26.5,29.0,0.75,23.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
17,2012,632.8267505819999,15.4,25.0,30.0,0.75,23.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
18,2013,788.3816934239999,16.0,27.6,30.2,0.75,24.2,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
19,2014,862.9030484099999,16.3,29.5,32.0,0.75,26.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
20,2015,1051.9913731859997,17.0,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
21,2016,1598.0042959919997,17.5,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
22,2017,2145.6784103039995,17.7,32.6,35.0,2.2,29.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
23,2018,2160.905238648,18.4,33.8,36.0,2.2,31.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
24,2019,2271.471831486,19.2,35.0,37.0,2.2,32.4,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
25,2020,2361.996,20.0,39.0,42.0,2.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
26,2021,2572.2216,20.9,39.0,42.0,2.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
27,2022,2801.1438,21.1,39.0,42.0,2.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
28,2023,3050.4474,21.86075153,39.0,42.0,2.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
29,2024,3321.9342,22.31841513,39.0,42.0,2.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
30,2025,3617.5931999999993,22.64893163,39.0,42.0,2.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
31,2026,3939.5538,22.90866717,39.0,42.0,2.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
32,2027,4290.179399999999,23.1230961,41.0,44.0,2.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
33,2028,4671.9972,23.3059583,41.0,44.0,2.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
34,2029,5087.815199999999,23.46552924,41.0,44.0,2.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
35,2030,5540.628599999999,23.6071874,41.0,44.0,2.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
36,2031,6033.7368,23.73462942,41.0,44.0,2.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
37,2032,6570.743399999999,23.85050733,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
38,2033,7155.532799999999,23.9567895,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
39,2034,7792.387199999999,24.05497781,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
40,2035,8485.892999999998,24.14624472,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
41,2036,9241.1514,24.23152341,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
42,2037,10063.6146,24.31156892,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
43,2038,10959.273,24.38700095,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
44,2039,11934.6318,24.4583345,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
45,2040,12996.827999999998,24.52600228,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
46,2041,14153.536799999998,24.5903714,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
47,2042,15413.205599999998,24.65175604,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
48,2043,16784.983799999998,24.71042724,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
49,2044,18278.8398,24.7666204,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
50,2045,19905.6546,24.82054137,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
51,2046,21677.2686,24.87237115,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
52,2047,23606.5518,24.92226981,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
53,2048,25707.5208,24.97037955,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
54,2049,27995.5026,25.01682731,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
55,2050,30487.0878,25.06172689,41.0,44.0,2.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
