,year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
0,year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
0,1995,7.8550038,12.5,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1,1996,8.853975199999999,12.7,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2,1997,12.8638048,12.88,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
3,1998,15.5122352,13.06,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
4,1999,20.838727,13.24,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
5,2000,29.062782,13.42,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
6,2001,30.097133976,13.6,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
7,2002,37.742752348,13.72222222,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
8,2003,58.35502414,13.84444444,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
9,2004,119.9177609,13.96666667,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
10,2005,163.185867404,14.08888889,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
11,2006,166.27456217399998,14.21111111,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
12,2007,249.250927758,14.33333333,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
13,2008,602.3639475140001,14.45555556,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
14,2009,764.6797276776,14.57777778,24.0,26.0,0.75,21.6,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
15,2010,1727.528820584,14.7,25.0,27.0,0.75,22.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
16,2011,3226.063043686,15.1,26.5,29.0,0.75,23.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
17,2012,3142.498650326,15.4,25.0,30.0,0.75,23.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
18,2013,3914.955246832,16.0,27.6,30.2,0.75,24.2,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
19,2014,4285.01428313,16.3,29.5,32.0,0.75,26.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
20,2015,5223.991348897999,17.0,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
21,2016,7935.388854455999,17.5,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
22,2017,10655.035524672,17.7,32.6,35.0,0.8,29.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
23,2018,10730.649091064,18.4,33.8,36.0,0.8,31.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
24,2019,11279.702000798,19.2,35.0,37.0,0.8,32.4,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
25,2020,11729.228,20.0,39.0,42.0,0.8,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
26,2021,12773.1688,20.9,39.0,42.0,0.8,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
27,2022,13909.9534,21.1,39.0,42.0,0.8,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
28,2023,15147.9482,21.86075153,39.0,42.0,0.8,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
29,2024,16496.100599999998,22.31841513,39.0,42.0,0.8,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
30,2025,17964.2876,22.64893163,39.0,42.0,0.8,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
31,2026,19563.0834,22.90866717,39.0,42.0,0.8,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
32,2027,21304.2242,23.1230961,41.0,44.0,0.8,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
33,2028,23200.2596,23.3059583,41.0,44.0,0.8,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
34,2029,25265.1336,23.46552924,41.0,44.0,0.8,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
