,year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_PG3_ReMFG_target,mat_ReMFG_yield,mat_PG4_Recycling_target,mat_Recycling_yield,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
0,year,%,g,%,%,%,%,%,%,%,%,%,%,%
0,1995,99,846.0,95.3,0,0,0,0,0,0,0,75,0,0
1,1996,99,846.0,95.37,0,0,0,0,0,0,0,75,0,0
2,1997,99,846.0,95.44,0,0,0,0,0,0,0,75,0,0
3,1998,99,846.0,95.51,0,0,0,0,0,0,0,75,0,0
4,1999,99,846.0,95.58,0,0,0,0,0,0,0,75,0,0
5,2000,99,846.0,95.65,0,0,0,0,0,0,0,75,0,0
6,2001,99,846.0,95.72,0,0,0,0,0,0,0,75,0,0
7,2002,99,846.0,95.79,0,0,0,0,0,0,0,75,0,0
8,2003,99,846.0,95.86,0,0,0,0,0,0,0,75,0,0
9,2004,99,846.0,95.93,0,0,0,0,0,0,0,75,0,0
10,2005,99,846.0,96.0,0,0,0,0,0,0,0,75,0,0
11,2006,99,846.0,96.5,0,0,0,0,0,0,0,75,0,0
12,2007,99,846.0,97.0,0,0,0,0,0,0,0,75,0,0
13,2008,99,846.0,97.5,0,0,0,0,0,0,0,75,0,0
14,2009,99,846.0,98.0,0,0,0,0,0,0,0,75,0,0
15,2010,99,846.0,98.5,0,0,0,0,0,0,0,75,0,0
16,2011,99,846.0,99.0,0,0,0,0,0,0,0,75,0,0
17,2012,99,846.0,99.0,0,0,0,0,0,0,0,75,0,0
18,2013,99,846.0,99.0,0,0,0,0,0,0,0,75,0,0
19,2014,99,848.09,99.0,0,0,0,0,0,0,0,75,0,0
20,2015,99,850.28,99.0,0,0,0,0,0,0,0,75,0,0
21,2016,99,852.81,99.0,0,0,0,0,0,0,0,75,0,0
22,2017,99,847.99,99.0,0,0,0,0,0,0,0,75,0,0
23,2018,99,848.955,99.0,0,0,0,0,0,0,0,75,0,0
24,2019,99,851.31,99.0,0,0,0,0,0,0,0,75,0,0
25,2020,99,849.445,99.0,0,0,0,0,0,0,0,75,0,0
26,2021,99,809.71,99.0,0,0,0,0,0,0,0,75,0,0
27,2022,99,782.7075,99.0,0,0,0,0,0,0,0,75,0,0
28,2023,99,778.335,99.0,0,0,0,0,0,0,0,75,0,0
29,2024,99,756.045,99.0,0,0,0,0,0,0,0,75,0,0
30,2025,99,720.427,99.0,0,0,0,0,0,0,0,75,0,0
31,2026,99,692.0926667,99.0,0,0,0,0,0,0,0,75,0,0
32,2027,99,680.2781111,99.0,0,0,0,0,0,0,0,75,0,0
33,2028,99,668.3333333,99.0,0,0,0,0,0,0,0,75,0,0
34,2029,99,670.1973333,99.0,0,0,0,0,0,0,0,75,0,0
35,2030,99,671.7413333,99.0,0,0,0,0,0,0,0,75,0,0
36,2031,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
37,2032,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
38,2033,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
39,2034,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
40,2035,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
41,2036,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
42,2037,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
43,2038,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
44,2039,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
45,2040,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
46,2041,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
47,2042,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
48,2043,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
49,2044,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
50,2045,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
51,2046,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
52,2047,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
53,2048,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
54,2049,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
55,2050,99,673.2853333,99.0,0,0,0,0,0,0,0,75,0,0
