,year,e_mod_MFG,e_mod_Install,e_mod_OandM,e_mod_Repair,e_mod_Demount,e_mod_Resell_Certify,e_mod_Store,e_mod_ReMFG_Disassembly,e_mod_Recycle_Crush
0,year,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2
0,1995,8600.0,9.5,0,48,9.5,0.2,0,1.1,670
1,1996,8700.0,9.5,0,48,9.5,0.2,0,1.1,670
2,1997,8800.0,9.5,0,48,9.5,0.2,0,1.1,670
3,1998,8900.0,9.5,0,48,9.5,0.2,0,1.1,670
4,1999,9000.0,9.5,0,48,9.5,0.2,0,1.1,670
5,2000,9100.0,9.5,0,48,9.5,0.2,0,1.1,670
6,2001,9200.0,9.5,0,48,9.5,0.2,0,1.1,670
7,2002,9300.0,9.5,0,48,9.5,0.2,0,1.1,670
8,2003,9400.0,9.5,0,48,9.5,0.2,0,1.1,670
9,2004,9500.0,9.5,0,48,9.5,0.2,0,1.1,670
10,2005,6664.0,9.5,0,48,9.5,0.2,0,1.1,670
11,2006,6176.666667,9.5,0,48,9.5,0.2,0,1.1,670
12,2007,5689.333333,9.5,0,48,9.5,0.2,0,1.1,670
13,2008,5202.0,9.5,0,48,9.5,0.2,0,1.1,670
14,2009,4714.666667,9.5,0,48,9.5,0.2,0,1.1,670
15,2010,4227.333333,9.5,0,48,9.5,0.2,0,1.1,670
16,2011,3740.0,9.5,0,48,9.5,0.2,0,1.1,670
17,2012,3698.0,9.5,0,48,9.5,0.2,0,1.1,670
18,2013,3656.0,9.5,0,48,9.5,0.2,0,1.1,670
19,2014,3614.0,9.5,0,48,9.5,0.2,0,1.1,670
20,2015,3572.0,9.5,0,48,9.5,0.2,0,1.1,670
21,2016,3530.0,9.5,0,48,9.5,0.2,0,1.1,670
22,2017,3488.0,9.5,0,48,9.5,0.2,0,1.1,670
23,2018,3446.0,9.5,0,48,9.5,0.2,0,1.1,670
24,2019,3404.0,9.5,0,48,9.5,0.2,0,1.1,670
25,2020,3362.0,9.5,0,48,9.5,0.2,0,1.1,670
26,2021,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
27,2022,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
28,2023,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
29,2024,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
30,2025,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
31,2026,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
32,2027,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
33,2028,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
34,2029,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
35,2030,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
36,2031,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
37,2032,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
38,2033,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
39,2034,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
40,2035,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
41,2036,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
42,2037,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
43,2038,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
44,2039,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
45,2040,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
46,2041,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
47,2042,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
48,2043,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
49,2044,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
50,2045,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
51,2046,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
52,2047,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
53,2048,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
54,2049,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
55,2050,3320.0,9.5,0,48,9.5,0.2,0,1.1,670
