,year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
0,year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
0,1995,0.3988341,12.5,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1,1996,0.4495563999999999,12.7,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2,1997,0.6531536,12.88,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
3,1998,0.7876264000000001,13.06,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
4,1999,1.0580765,13.24,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
5,2000,1.475649,13.42,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
6,2001,1.528167732,13.6,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
7,2002,1.916370386,13.72222222,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
8,2003,2.96294873,13.84444444,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
9,2004,6.08876755,13.96666667,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
10,2005,8.285685178,14.08888889,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
11,2006,8.442512192999999,14.21111111,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
12,2007,12.655597881,14.33333333,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
13,2008,30.584744323,14.45555556,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
14,2009,38.8262512332,14.57777778,24.0,26.0,0.75,21.6,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
15,2010,87.714458188,14.7,25.0,27.0,0.75,22.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
16,2011,163.801824077,15.1,26.5,29.0,0.75,23.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
17,2012,159.55888155699998,15.4,25.0,30.0,0.75,23.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
18,2013,198.779999624,16.0,27.6,30.2,0.75,24.2,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
19,2014,217.569572035,16.3,29.5,32.0,0.75,26.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
20,2015,265.245688111,17.0,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
21,2016,402.915613092,17.5,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
22,2017,541.004385504,17.7,32.6,35.0,4.2,29.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
23,2018,544.843628548,18.4,33.8,36.0,4.2,31.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
24,2019,572.7215301609999,19.2,35.0,37.0,4.2,32.4,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
25,2020,595.5459999999999,20.0,39.0,42.0,4.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
26,2021,648.5516,20.9,39.0,42.0,4.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
27,2022,706.2713,21.1,39.0,42.0,4.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
28,2023,769.1299,21.86075153,39.0,42.0,4.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
29,2024,837.5817,22.31841513,39.0,42.0,4.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
30,2025,912.1282,22.64893163,39.0,42.0,4.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
31,2026,993.3063,22.90866717,39.0,42.0,4.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
32,2027,1081.7119,23.1230961,41.0,44.0,4.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
33,2028,1177.9822,23.3059583,41.0,44.0,4.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
34,2029,1282.8252,23.46552924,41.0,44.0,4.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
35,2030,1396.9961,23.6071874,41.0,44.0,4.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
36,2031,1521.3268,23.73462942,41.0,44.0,4.2,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
37,2032,1656.7259,23.85050733,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
38,2033,1804.1728,23.9567895,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
39,2034,1964.7472,24.05497781,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
40,2035,2139.6055,24.14624472,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
41,2036,2330.0339,24.23152341,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
42,2037,2537.4071,24.31156892,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
43,2038,2763.2355,24.38700095,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
44,2039,3009.1593,24.4583345,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
45,2040,3276.978,24.52600228,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
46,2041,3568.6268,24.5903714,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
47,2042,3886.2356,24.65175604,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
48,2043,4232.1113,24.71042724,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
49,2044,4608.7673,24.7666204,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
50,2045,5018.9471,24.82054137,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
51,2046,5465.6361,24.87237115,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
52,2047,5952.079299999999,24.92226981,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
53,2048,6481.8108,24.97037955,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
54,2049,7058.6951,25.01682731,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
55,2050,7686.9153,25.06172689,41.0,44.0,4.2,35.0,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
