,year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_PG3_ReMFG_target,mat_ReMFG_yield,mat_PG4_Recycling_target,mat_Recycling_yield,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
0,year,%,g,%,%,%,%,%,%,%,%,%,%,%
0,1995,75,88.0,80,95,97,100,21.9,0,0,0,97,80,21.9
1,1996,75,84.57142857,80,95,97,100,21.9,0,0,0,97,80,21.9
2,1997,75,81.14285714,80,95,97,100,21.9,0,0,0,97,80,21.9
3,1998,75,77.71428571,80,95,97,100,21.9,0,0,0,97,80,21.9
4,1999,75,74.28571429,80,95,97,100,21.9,0,0,0,97,80,21.9
5,2000,75,45.34857143,80,95,97,100,21.9,0,0,0,97,80,21.9
6,2001,75,43.15428571,80,95,97,100,21.9,0,0,0,97,80,21.9
7,2002,75,40.96,80,95,97,100,21.9,0,0,0,97,80,21.9
8,2003,75,38.76571429,80,95,97,100,21.9,0,0,0,97,80,21.9
9,2004,75,36.57142857,80,95,97,100,21.9,0,0,0,97,80,21.9
10,2005,75,34.37714286,80,95,97,100,21.9,0,0,0,97,80,21.9
11,2006,75,32.18285714,80,95,97,100,21.9,0,0,0,97,80,21.9
12,2007,75,29.98857143,80,95,97,100,21.9,0,0,0,97,80,21.9
13,2008,75,27.79428571,80,95,97,100,21.9,0,0,0,97,80,21.9
14,2009,75,25.6,80,95,97,100,21.9,0,0,0,97,80,21.9
15,2010,75,12.32741617,80,95,97,100,21.1,0,0,0,97,80,21.1
16,2011,75,10.27284681,80,95,97,100,23.07,0,0,0,97,80,23.07
17,2012,75,8.218277449,80,95,97,100,21.34,0,0,0,97,80,21.34
18,2013,75,5.752794214,80,95,97,100,18.62,0,0,0,97,80,18.62
19,2014,75,5.341880342,80,95,97,100,16.43,0,0,0,97,80,16.43
20,2015,75,4.520052597,80,95,97,100,15.67,0,0,0,97,80,15.67
21,2016,75,4.099757009,80,95,97,100,15.54,0,0,0,97,80,15.54
22,2017,75,4.079706754,80,95,97,100,16.25,0,0,0,97,80,16.25
23,2018,75,4.314325072,80,95,97,100,16.49,0,0,0,97,80,16.49
24,2019,75,4.122393792,80,95,97,100,16.61,0,0,0,97,80,16.61
25,2020,75,3.392034742,80,95,97,100,16.61,0,0,0,97,80,16.61
26,2021,75,3.507015373,80,95,97,100,16.61,0,0,0,97,80,16.61
27,2022,75,3.225872171,80,95,97,100,16.61,0,0,0,97,80,16.61
28,2023,75,3.016860648,80,95,97,100,16.61,0,0,0,97,80,16.61
29,2024,75,2.655184316,80,95,97,100,16.61,0,0,0,97,80,16.61
30,2025,75,2.333038772,80,95,97,100,16.61,0,0,0,97,80,16.61
31,2026,75,2.176737774,80,95,97,100,16.61,0,0,0,97,80,16.61
32,2027,75,2.068564776,80,95,97,100,16.61,0,0,0,97,80,16.61
33,2028,75,1.964513302,80,95,97,100,16.61,0,0,0,97,80,16.61
34,2029,75,1.840954404,80,95,97,100,16.61,0,0,0,97,80,16.61
35,2030,75,1.707539569,80,95,97,100,16.61,0,0,0,97,80,16.61
36,2031,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
37,2032,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
38,2033,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
39,2034,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
40,2035,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
41,2036,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
42,2037,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
43,2038,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
44,2039,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
45,2040,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
46,2041,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
47,2042,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
48,2043,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
49,2044,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
50,2045,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
51,2046,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
52,2047,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
53,2048,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
54,2049,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
55,2050,75,1.578125141,80,95,97,100,16.61,0,0,0,97,80,16.61
