,year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ,e_mat_Recycled_HQ_fuelfraction
0,year,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%
0,1995,4,15.39,30.23,7.2,1.3,0.09,0,0,7.2,1.3,30
1,1996,4,15.3,30.54,7.2,1.3,0.09,0,0,7.2,1.3,30
2,1997,4,15.16,30.83,7.2,1.3,0.09,0,0,7.2,1.3,30
3,1998,4,15.11,31.5,7.2,1.3,0.09,0,0,7.2,1.3,30
4,1999,4,14.98,31.95,7.2,1.3,0.09,0,0,7.2,1.3,30
5,2000,4,15.16,33.33,7.2,1.3,0.09,0,0,7.2,1.3,30
6,2001,4,14.88,33.48,7.2,1.3,0.09,0,0,7.2,1.3,30
7,2002,4,14.8,34.18,7.2,1.3,0.09,0,0,7.2,1.3,30
8,2003,4,14.83,34.82,7.2,1.3,0.09,0,0,7.2,1.3,30
9,2004,4,15.0,35.82,7.2,1.3,0.09,0,0,7.2,1.3,30
10,2005,4,15.08,36.6,7.2,1.3,0.09,0,0,7.2,1.3,30
11,2006,4,15.06,37.14,7.2,1.3,0.09,0,0,7.2,1.3,30
12,2007,4,15.06,37.73,7.2,1.3,0.09,0,0,7.2,1.3,30
13,2008,4,15.04,36.03,7.2,1.3,0.09,0,0,7.2,1.3,30
14,2009,4,14.93,35.89,7.2,1.3,0.09,0,0,7.2,1.3,30
15,2010,4,14.9,35.94,7.2,1.3,0.09,0,0,7.2,1.3,30
16,2011,4,14.78,35.78,7.2,1.3,0.09,0,0,7.2,1.3,30
17,2012,4,14.81,35.96,7.2,1.3,0.09,0,0,7.2,1.3,30
18,2013,4,14.84,36.13,7.2,1.3,0.09,0,0,7.2,1.3,30
19,2014,4,14.76,36.06,7.2,1.3,0.09,0,0,7.2,1.3,30
20,2015,4,14.8,36.26,7.2,1.3,0.09,0,0,7.2,1.3,30
21,2016,4,14.89,36.59,7.2,1.3,0.09,0,0,7.2,1.3,30
22,2017,4,14.88,36.66,7.2,1.3,0.09,0,0,7.2,1.3,30
23,2018,4,14.86,36.73,7.2,1.3,0.09,0,0,7.2,1.3,30
24,2019,4,14.76,36.62,7.2,1.3,0.09,0,0,7.2,1.3,30
25,2020,4,14.75,36.71,7.2,1.3,0.09,0,0,7.2,1.3,30
26,2021,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
27,2022,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
28,2023,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
29,2024,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
30,2025,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
31,2026,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
32,2027,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
33,2028,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
34,2029,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
35,2030,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
36,2031,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
37,2032,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
38,2033,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
39,2034,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
40,2035,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
41,2036,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
42,2037,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
43,2038,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
44,2039,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
45,2040,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
46,2041,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
47,2042,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
48,2043,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
49,2044,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
50,2045,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
51,2046,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
52,2047,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
53,2048,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
54,2049,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
55,2050,4,14.84,37.03,7.2,1.3,0.09,0,0,7.2,1.3,30
