,year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_PG3_ReMFG_target,mat_ReMFG_yield,mat_PG4_Recycling_target,mat_Recycling_yield,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
0,year,%,g,%,%,%,%,%,%,%,%,%,%,%
0,1995,20.0,848.4214286,45.0,100,20,0,100,0,0,20,80,0,0
1,1996,20.4,831.7857143,45.0,100,20,0,100,0,0,20,80,0,0
2,1997,20.8,815.15,45.0,100,20,0,100,0,0,20,80,0,0
3,1998,21.2,798.5142857,45.0,100,20,0,100,0,0,20,80,0,0
4,1999,21.6,781.8785714,45.0,100,20,0,100,0,0,20,80,0,0
5,2000,22.0,765.2428571,45.0,100,20,0,100,0,0,20,80,0,0
6,2001,22.4,748.6071429,45.0,100,20,0,100,0,0,20,80,0,0
7,2002,22.8,731.9714286,45.0,100,20,0,100,0,0,20,80,0,0
8,2003,23.2,715.3357143,45.0,100,20,0,100,0,0,20,80,0,0
9,2004,23.6,698.7,49.36565834,100,20,0,100,0,0,20,80,0,0
10,2005,24.0,582.25,41.58805731,100,20,0,100,0,0,20,80,0,0
11,2006,24.4,465.8,33.63841614,100,20,0,100,0,0,20,80,0,0
12,2007,24.8,442.51,32.3138861,100,20,0,100,0,0,20,80,0,0
13,2008,25.2,419.22,30.95939478,100,20,0,100,0,0,20,80,0,0
14,2009,25.6,419.22,31.31355595,100,20,0,100,0,0,20,80,0,0
15,2010,26.0,419.22,49.33536239,100,20,0,100,0,0,20,80,0,0
16,2011,26.4,419.22,49.66181831,100,20,0,100,0,0,20,80,0,0
17,2012,26.8,419.22,48.63711241,100,20,0,100,0,0,20,80,0,0
18,2013,27.2,419.22,49.92050096,100,20,0,100,0,0,20,80,0,0
19,2014,27.6,419.22,50.13317643,100,20,0,100,0,0,20,80,0,0
20,2015,28.0,419.22,50.54035646,100,20,0,100,0,0,20,80,0,0
21,2016,28.4,419.22,53.4170004,100,20,0,100,0,0,20,80,0,0
22,2017,28.8,419.22,59.32333715,100,20,0,100,0,0,20,80,0,0
23,2018,29.2,410.8550083,63.60055267,100,20,0,100,0,0,20,80,0,0
24,2019,29.6,402.1406667,65.06394011,100,20,0,100,0,0,20,80,0,0
25,2020,30.0,395.5418334,66.72675976,100,20,0,100,0,0,20,80,0,0
26,2021,30.0,388.943,66.18084496,100,20,0,100,0,0,20,80,0,0
27,2022,30.0,384.285,65.58767292,100,20,0,100,0,0,20,80,0,0
28,2023,30.0,374.969,66.98371616,100,20,0,100,0,0,20,80,0,0
29,2024,30.0,365.653,68.78493968,100,20,0,100,0,0,20,80,0,0
30,2025,30.0,359.8305,69.37974021,100,20,0,100,0,0,20,80,0,0
31,2026,30.0,354.008,69.84836065,100,20,0,100,0,0,20,80,0,0
32,2027,30.0,348.5736667,70.19056462,100,20,0,100,0,0,20,80,0,0
33,2028,30.0,343.1393333,70.65569711,100,20,0,100,0,0,20,80,0,0
34,2029,30.0,337.705,71.12557438,100,20,0,100,0,0,20,80,0,0
35,2030,30.0,335.376,71.60023678,100,20,0,100,0,0,20,80,0,0
36,2031,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
37,2032,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
38,2033,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
39,2034,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
40,2035,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
41,2036,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
42,2037,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
43,2038,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
44,2039,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
45,2040,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
46,2041,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
47,2042,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
48,2043,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
49,2044,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
50,2045,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
51,2046,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
52,2047,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
53,2048,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
54,2049,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
55,2050,30.0,333.047,71.60023678,100,20,0,100,0,0,20,80,0,0
