,year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
0,year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
0,1995,3.6300663,12.5,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1,1996,4.0917252,12.7,16.0,21.0,0.75,10.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2,1997,5.944804799999999,12.88,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
3,1998,7.1687352,13.06,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
4,1999,9.6302895,13.24,18.0,20.0,0.75,15.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
5,2000,13.430907,13.42,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
6,2001,13.908916476,13.6,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
7,2002,17.442218598,13.72222222,22.5,24.0,0.75,20.0,95,0,0,15,0,60,0,0,40,0,100,60,0,0,40
8,2003,26.96785539,13.84444444,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
9,2004,55.41810465,13.96666667,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
10,2005,75.413778654,14.08888889,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
11,2006,76.841170299,14.21111111,22.5,24.0,0.75,20.0,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
12,2007,115.187390883,14.33333333,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
13,2008,278.373011889,14.45555556,24.0,26.0,0.75,21.5,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
14,2009,353.3846934276,14.57777778,24.0,26.0,0.75,21.6,96,0,0,15,0,60,0,0,40,0,100,60,0,0,40
15,2010,798.3502380839999,14.7,25.0,27.0,0.75,22.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
16,2011,1490.874229311,15.1,26.5,29.0,0.75,23.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
17,2012,1452.2562609509998,15.4,25.0,30.0,0.75,23.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
18,2013,1809.234911832,16.0,27.6,30.2,0.75,24.2,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
19,2014,1980.251867505,16.3,29.5,32.0,0.75,26.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
20,2015,2414.185330773,17.0,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
21,2016,3667.214986956,17.5,32.4,35.0,0.75,28.7,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
22,2017,4924.056864671999,17.7,32.6,35.0,1.6,29.5,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
23,2018,4959.000483564,18.4,33.8,36.0,1.6,31.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
24,2019,5212.736638923,19.2,35.0,37.0,1.6,32.4,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
25,2020,5420.478,20.0,39.0,42.0,1.6,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
26,2021,5902.9188,20.9,39.0,42.0,1.6,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
27,2022,6428.265899999999,21.1,39.0,42.0,1.6,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
28,2023,7000.3857,21.86075153,39.0,42.0,1.6,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
29,2024,7623.4131,22.31841513,39.0,42.0,1.6,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
30,2025,8301.9126,22.64893163,39.0,42.0,1.6,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
31,2026,9040.7709,22.90866717,39.0,42.0,1.6,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
32,2027,9845.4117,23.1230961,41.0,44.0,1.6,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
33,2028,10721.6346,23.3059583,41.0,44.0,1.6,35.0,97,0,0,15,0,60,0,0,40,0,100,60,0,0,40
