,year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ,e_mat_Recycled_HQ_fuelfraction
0,year,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%
0,1995,2.24,60.0,26.5,2.5,0,0.09,0,0.01,2.5,2.1,80
1,1996,2.24,60.74,26.43,2.5,0,0.09,0,0.01,2.5,2.1,80
2,1997,2.24,61.48,26.37,2.5,0,0.09,0,0.01,2.5,2.1,80
3,1998,2.24,62.22,26.3,2.5,0,0.09,0,0.01,2.5,2.1,80
4,1999,2.24,62.96,26.24,2.5,0,0.09,0,0.01,2.5,2.1,80
5,2000,2.24,63.7,26.18,2.5,0,0.09,0,0.01,2.5,2.1,80
6,2001,2.24,64.75,26.1,2.5,0,0.09,0,0.01,2.5,2.1,80
7,2002,2.24,65.81,26.01,2.5,0,0.09,0,0.01,2.5,2.1,80
8,2003,2.24,66.86,25.94,2.5,0,0.09,0,0.01,2.5,2.1,80
9,2004,2.24,65.2,26.06,2.5,0,0.09,0,0.01,2.5,2.1,80
10,2005,2.24,63.55,26.19,2.5,0,0.09,0,0.01,2.5,2.1,80
11,2006,2.24,61.89,26.33,2.5,0,0.09,0,0.01,2.5,2.1,80
12,2007,2.24,60.23,26.48,2.5,0,0.09,0,0.01,2.5,2.1,80
13,2008,2.24,58.58,26.63,2.5,0,0.09,0,0.01,2.5,2.1,80
14,2009,2.24,56.92,26.8,2.5,0,0.09,0,0.01,2.5,2.1,80
15,2010,2.24,55.27,26.97,2.5,0,0.09,0,0.01,2.5,2.1,80
16,2011,2.24,53.61,27.16,2.5,0,0.09,0,0.01,2.5,2.1,80
17,2012,2.24,49.34,27.69,2.5,0,0.09,0,0.01,2.5,2.1,80
18,2013,2.24,45.07,28.32,2.5,0,0.09,0,0.01,2.5,2.1,80
19,2014,2.24,40.8,29.09,2.5,0,0.09,0,0.01,2.5,2.1,80
20,2015,2.24,36.52,30.04,2.5,0,0.09,0,0.01,2.5,2.1,80
21,2016,2.24,32.25,31.23,2.5,0,0.09,0,0.01,2.5,2.1,80
22,2017,2.24,27.98,32.79,2.5,0,0.09,0,0.01,2.5,2.1,80
23,2018,2.24,23.71,34.92,2.5,0,0.09,0,0.01,2.5,2.1,80
24,2019,2.24,23.38,35.11,2.5,0,0.09,0,0.01,2.5,2.1,80
25,2020,2.24,23.05,35.32,2.5,0,0.09,0,0.01,2.5,2.1,80
26,2021,2.24,22.72,35.53,2.5,0,0.09,0,0.01,2.5,2.1,80
27,2022,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
28,2023,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
29,2024,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
30,2025,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
31,2026,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
32,2027,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
33,2028,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
34,2029,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
35,2030,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
36,2031,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
37,2032,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
38,2033,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
39,2034,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
40,2035,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
41,2036,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
42,2037,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
43,2038,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
44,2039,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
45,2040,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
46,2041,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
47,2042,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
48,2043,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
49,2044,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
50,2045,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
51,2046,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
52,2047,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
53,2048,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
54,2049,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
55,2050,2.24,22.39,35.74,2.5,0,0.09,0,0.01,2.5,2.1,80
