year,State,New Installs,Type
2018,AL,174.8755992,PV
2019,AL,397.2786112,PV
2020,AL,397.2786112,PV
2021,AL,990.7433396,PV
2022,AL,990.7433396,PV
2023,AL,3.84880034,PV
2024,AL,3.84880034,PV
2025,AL,6.347800085,PV
2026,AL,6.347800085,PV
2027,AL,1497.567386,PV
2028,AL,1497.567386,PV
2029,AL,1682.297049,PV
2030,AL,1682.297049,PV
2031,AL,75.37885009,PV
2032,AL,75.37885009,PV
2033,AL,3498.23365,PV
2034,AL,3498.23365,PV
2035,AL,245.127591,PV
2036,AL,245.127591,PV
2037,AL,203.40925,PV
2038,AL,203.40925,PV
2039,AL,1316.731599,PV
2040,AL,1316.731599,PV
2041,AL,1510.206218,PV
2042,AL,1510.206218,PV
2043,AL,962.8485258,PV
2044,AL,962.8485258,PV
2045,AL,958.2645943,PV
2046,AL,958.2645943,PV
2047,AL,3065.229149,PV
2048,AL,3065.229149,PV
2049,AL,142.3010506,PV
2050,AL,142.3010506,PV
2018,AR,93.02739958,PV
2019,AR,3.87175085,PV
2020,AR,3.87175085,PV
2021,AR,193.7172096,PV
2022,AR,193.7172096,PV
2023,AR,28.9136006,PV
2024,AR,28.9136006,PV
2025,AR,80.21959975,PV
2026,AR,80.21959975,PV
2027,AR,846.5540992,PV
2028,AR,846.5540992,PV
2029,AR,191.9656999,PV
2030,AR,191.9656999,PV
2031,AR,299.8383497,PV
2032,AR,299.8383497,PV
2033,AR,410.2159506,PV
2034,AR,410.2159506,PV
2035,AR,480.5670495,PV
2036,AR,480.5670495,PV
2037,AR,613.1264203,PV
2038,AR,613.1264203,PV
2039,AR,526.3522997,PV
2040,AR,526.3522997,PV
2041,AR,192.71285,PV
2042,AR,192.71285,PV
2043,AR,1189.198681,PV
2044,AR,1189.198681,PV
2045,AR,2433.5241,PV
2046,AR,2433.5241,PV
2047,AR,1301.846447,PV
2048,AR,1301.846447,PV
2049,AR,41.84617907,PV
2050,AR,41.84617907,PV
2018,AZ,2721.79537,PV
2019,AZ,1525.129341,PV
2020,AZ,1525.129341,PV
2021,AZ,690.4453296,PV
2022,AZ,690.4453296,PV
2023,AZ,916.3556024,PV
2024,AZ,916.3556024,PV
2025,AZ,1000.293622,PV
2026,AZ,1000.293622,PV
2027,AZ,128.4579492,PV
2028,AZ,128.4579492,PV
2029,AZ,154.9703006,PV
2030,AZ,154.9703006,PV
2031,AZ,159.6758994,PV
2032,AZ,159.6758994,PV
2033,AZ,12603.59023,PV
2034,AZ,12603.59023,PV
2035,AZ,163.064,PV
2036,AZ,163.064,PV
2037,AZ,174.2431994,PV
2038,AZ,174.2431994,PV
2039,AZ,2853.020293,PV
2040,AZ,2853.020293,PV
2041,AZ,1795.066786,PV
2042,AZ,1795.066786,PV
2043,AZ,8175.028587,PV
2044,AZ,8175.028587,PV
2045,AZ,1771.573464,PV
2046,AZ,1771.573464,PV
2047,AZ,1381.587871,PV
2048,AZ,1381.587871,PV
2049,AZ,3193.642426,PV
2050,AZ,3193.642426,PV
2018,CA,16761.9541,PV
2019,CA,5559.302809,PV
2020,CA,5559.302809,PV
2021,CA,5050.170945,PV
2022,CA,5050.170945,PV
2023,CA,1679.260131,PV
2024,CA,1679.260131,PV
2025,CA,6227.033815,PV
2026,CA,6227.033815,PV
2027,CA,5205.454079,PV
2028,CA,5205.454079,PV
2029,CA,1998.299211,PV
2030,CA,1998.299211,PV
2031,CA,5762.571422,PV
2032,CA,5762.571422,PV
2033,CA,5642.93657,PV
2034,CA,5642.93657,PV
2035,CA,3806.771568,PV
2036,CA,3806.771568,PV
2037,CA,12777.37094,PV
2038,CA,12777.37094,PV
2039,CA,6569.295469,PV
2040,CA,6569.295469,PV
2041,CA,14838.58959,PV
2042,CA,14838.58959,PV
2043,CA,12156.98579,PV
2044,CA,12156.98579,PV
2045,CA,2965.13037,PV
2046,CA,2965.13037,PV
2047,CA,3500.183543,PV
2048,CA,3500.183543,PV
2049,CA,2986.467193,PV
2050,CA,2986.467193,PV
2018,CO,901.0276251,PV
2019,CO,78.69044992,PV
2020,CO,78.69044992,PV
2021,CO,71.73489983,PV
2022,CO,71.73489983,PV
2023,CO,65.96850051,PV
2024,CO,65.96850051,PV
2025,CO,1959.16925,PV
2026,CO,1959.16925,PV
2027,CO,969.118405,PV
2028,CO,969.118405,PV
2029,CO,2562.75425,PV
2030,CO,2562.75425,PV
2031,CO,140.4862997,PV
2032,CO,140.4862997,PV
2033,CO,1042.021151,PV
2034,CO,1042.021151,PV
2035,CO,192.0260495,PV
2036,CO,192.0260495,PV
2037,CO,1773.604133,PV
2038,CO,1773.604133,PV
2039,CO,233.0096492,PV
2040,CO,233.0096492,PV
2041,CO,193.5662507,PV
2042,CO,193.5662507,PV
2043,CO,161.8221498,PV
2044,CO,161.8221498,PV
2045,CO,589.9341399,PV
2046,CO,589.9341399,PV
2047,CO,100.3577996,PV
2048,CO,100.3577996,PV
2049,CO,1759.535034,PV
2050,CO,1759.535034,PV
2018,CT,1123.993489,PV
2019,CT,366.1553129,PV
2020,CT,366.1553129,PV
2021,CT,153.9826003,PV
2022,CT,153.9826003,PV
2023,CT,123.6231503,PV
2024,CT,123.6231503,PV
2025,CT,134.2217997,PV
2026,CT,134.2217997,PV
2027,CT,231.8392003,PV
2028,CT,231.8392003,PV
2029,CT,244.2899997,PV
2030,CT,244.2899997,PV
2031,CT,223.3987001,PV
2032,CT,223.3987001,PV
2033,CT,917.7526494,PV
2034,CT,917.7526494,PV
2035,CT,135.8707999,PV
2036,CT,135.8707999,PV
2037,CT,2760.8867,PV
2038,CT,2760.8867,PV
2039,CT,125.7260494,PV
2040,CT,125.7260494,PV
2041,CT,68.16575051,PV
2042,CT,68.16575051,PV
2043,CT,32.08154983,PV
2044,CT,32.08154983,PV
2045,CT,35.50339534,PV
2046,CT,35.50339534,PV
2047,CT,207.6041501,PV
2048,CT,207.6041501,PV
2049,CT,3.683050085,PV
2050,CT,3.683050085,PV
2018,DE,724.9271969,PV
2019,DE,175.5938443,PV
2020,DE,175.5938443,PV
2021,DE,40.41154992,PV
2022,DE,40.41154992,PV
2023,DE,38.9648506,PV
2024,DE,38.9648506,PV
2025,DE,46.28929932,PV
2026,DE,46.28929932,PV
2027,DE,53.93760026,PV
2028,DE,53.93760026,PV
2029,DE,16.18654983,PV
2030,DE,16.18654983,PV
2031,DE,1163.71715,PV
2032,DE,1163.71715,PV
2033,DE,1670.692,PV
2034,DE,1670.692,PV
2035,DE,23.89775009,PV
2036,DE,23.89775009,PV
2037,DE,29.26210034,PV
2038,DE,29.26210034,PV
2039,DE,31.95149975,PV
2040,DE,31.95149975,PV
2041,DE,18.18659992,PV
2042,DE,18.18659992,PV
2043,DE,10.15494992,PV
2044,DE,10.15494992,PV
2045,DE,897.7723883,PV
2046,DE,897.7723883,PV
2047,DE,558.5605017,PV
2048,DE,558.5605017,PV
2049,DE,3929.528298,PV
2050,DE,3929.528298,PV
2018,FL,1661.653524,PV
2019,FL,3814.967153,PV
2020,FL,3814.967153,PV
2021,FL,11888.35058,PV
2022,FL,11888.35058,PV
2023,FL,14402.64833,PV
2024,FL,14402.64833,PV
2025,FL,882.0534997,PV
2026,FL,882.0534997,PV
2027,FL,1248.0091,PV
2028,FL,1248.0091,PV
2029,FL,2319.507195,PV
2030,FL,2319.507195,PV
2031,FL,11958.92503,PV
2032,FL,11958.92503,PV
2033,FL,3405.992507,PV
2034,FL,3405.992507,PV
2035,FL,2172.808247,PV
2036,FL,2172.808247,PV
2037,FL,17371.50733,PV
2038,FL,17371.50733,PV
2039,FL,2227.888248,PV
2040,FL,2227.888248,PV
2041,FL,4892.297601,PV
2042,FL,4892.297601,PV
2043,FL,7619.642242,PV
2044,FL,7619.642242,PV
2045,FL,8181.149425,PV
2046,FL,8181.149425,PV
2047,FL,18198.81627,PV
2048,FL,18198.81627,PV
2049,FL,2188.137273,PV
2050,FL,2188.137273,PV
2018,GA,1052.859214,PV
2019,GA,606.1233551,PV
2020,GA,606.1233551,PV
2021,GA,1010.337935,PV
2022,GA,1010.337935,PV
2023,GA,23.83909941,PV
2024,GA,23.83909941,PV
2025,GA,32.6723006,PV
2026,GA,32.6723006,PV
2027,GA,1609.419402,PV
2028,GA,1609.419402,PV
2029,GA,6359.235359,PV
2030,GA,6359.235359,PV
2031,GA,8548.295303,PV
2032,GA,8548.295303,PV
2033,GA,8561.70692,PV
2034,GA,8561.70692,PV
2035,GA,71.27930051,PV
2036,GA,71.27930051,PV
2037,GA,85.50405017,PV
2038,GA,85.50405017,PV
2039,GA,103.7246495,PV
2040,GA,103.7246495,PV
2041,GA,5377.502555,PV
2042,GA,5377.502555,PV
2043,GA,171.6790237,PV
2044,GA,171.6790237,PV
2045,GA,5591.88317,PV
2046,GA,5591.88317,PV
2047,GA,9142.875932,PV
2048,GA,9142.875932,PV
2049,GA,8677.178247,PV
2050,GA,8677.178247,PV
2018,IA,69.68945949,PV
2019,IA,37.56660017,PV
2020,IA,37.56660017,PV
2021,IA,52.58864958,PV
2022,IA,52.58864958,PV
2023,IA,74.50675034,PV
2024,IA,74.50675034,PV
2025,IA,1344.059951,PV
2026,IA,1344.059951,PV
2027,IA,2540.89038,PV
2028,IA,2540.89038,PV
2029,IA,154.4186497,PV
2030,IA,154.4186497,PV
2031,IA,4934.3758,PV
2032,IA,4934.3758,PV
2033,IA,166.0143504,PV
2034,IA,166.0143504,PV
2035,IA,164.2352997,PV
2036,IA,164.2352997,PV
2037,IA,251.4461503,PV
2038,IA,251.4461503,PV
2039,IA,246.1370502,PV
2040,IA,246.1370502,PV
2041,IA,220.4534501,PV
2042,IA,220.4534501,PV
2043,IA,210.5246,PV
2044,IA,210.5246,PV
2045,IA,220.4772496,PV
2046,IA,220.4772496,PV
2047,IA,222.4076001,PV
2048,IA,222.4076001,PV
2049,IA,232.6033497,PV
2050,IA,232.6033497,PV
2018,ID,308.111825,PV
2019,ID,14.46445,PV
2020,ID,14.46445,PV
2021,ID,13.61444992,PV
2022,ID,13.61444992,PV
2023,ID,10.22124983,PV
2024,ID,10.22124983,PV
2025,ID,259.4880003,PV
2026,ID,259.4880003,PV
2027,ID,1905.1849,PV
2028,ID,1905.1849,PV
2029,ID,29.52475026,PV
2030,ID,29.52475026,PV
2031,ID,3022.91348,PV
2032,ID,3022.91348,PV
2033,ID,30.86945043,PV
2034,ID,30.86945043,PV
2035,ID,40.23134924,PV
2036,ID,40.23134924,PV
2037,ID,53.56360026,PV
2038,ID,53.56360026,PV
2039,ID,1034.4942,PV
2040,ID,1034.4942,PV
2041,ID,24.74774924,PV
2042,ID,24.74774924,PV
2043,ID,16.52740034,PV
2044,ID,16.52740034,PV
2045,ID,2504.984624,PV
2046,ID,2504.984624,PV
2047,ID,1775.883932,PV
2048,ID,1775.883932,PV
2049,ID,2771.376165,PV
2050,ID,2771.376165,PV
2018,IL,96.42374568,PV
2019,IL,1023.485037,PV
2020,IL,1023.485037,PV
2021,IL,120.9056999,PV
2022,IL,120.9056999,PV
2023,IL,584.4264588,PV
2024,IL,584.4264588,PV
2025,IL,361.0409,PV
2026,IL,361.0409,PV
2027,IL,526.6982072,PV
2028,IL,526.6982072,PV
2029,IL,2045.599886,PV
2030,IL,2045.599886,PV
2031,IL,5646.84665,PV
2032,IL,5646.84665,PV
2033,IL,716.1113996,PV
2034,IL,716.1113996,PV
2035,IL,1053.86315,PV
2036,IL,1053.86315,PV
2037,IL,247.2615999,PV
2038,IL,247.2615999,PV
2039,IL,288.8759002,PV
2040,IL,288.8759002,PV
2041,IL,112.0478503,PV
2042,IL,112.0478503,PV
2043,IL,80.02834898,PV
2044,IL,80.02834898,PV
2045,IL,1157.139372,PV
2046,IL,1157.139372,PV
2047,IL,2637.039596,PV
2048,IL,2637.039596,PV
2049,IL,930.064913,PV
2050,IL,930.064913,PV
2018,IN,238.483565,PV
2019,IN,23.26535068,PV
2020,IN,23.26535068,PV
2021,IN,609.9662893,PV
2022,IN,609.9662893,PV
2023,IN,25.78560017,PV
2024,IN,25.78560017,PV
2025,IN,1292.970447,PV
2026,IN,1292.970447,PV
2027,IN,1535.266724,PV
2028,IN,1535.266724,PV
2029,IN,3242.077649,PV
2030,IN,3242.077649,PV
2031,IN,17285.33991,PV
2032,IN,17285.33991,PV
2033,IN,167.65485,PV
2034,IN,167.65485,PV
2035,IN,16332.98196,PV
2036,IN,16332.98196,PV
2037,IN,246.0205997,PV
2038,IN,246.0205997,PV
2039,IN,296.3287001,PV
2040,IN,296.3287001,PV
2041,IN,262.8472,PV
2042,IN,262.8472,PV
2043,IN,244.1710004,PV
2044,IN,244.1710004,PV
2045,IN,211.5479996,PV
2046,IN,211.5479996,PV
2047,IN,200.8575533,PV
2048,IN,200.8575533,PV
2049,IN,313.0311147,PV
2050,IN,313.0311147,PV
2018,KS,59.78644958,PV
2019,KS,19.56615034,PV
2020,KS,19.56615034,PV
2021,KS,26.41970034,PV
2022,KS,26.41970034,PV
2023,KS,73.31946975,PV
2024,KS,73.31946975,PV
2025,KS,1589.83086,PV
