year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_EOL_collection_eff,mod_EOL_collected_recycled,mod_Repowering,mod_Repairing
year,MW,%,years,years,%,years,%,%,%,%,%
1995,12.5,12.5,15,20,0.55,10,98,15,40,0,0
1996,9.667666667,12.7,15,20,0.55,10,98,15,40,0,0
1997,11.622,12.88,19,23,0.55,15,98,15,40,0,0
1998,11.781,13.06,19,23,0.55,15,98,15,40,0,0
1999,16.88466667,13.24,19,23,0.55,15,98,15,40,0,0
2000,20.92666667,13.42,31,36,0.6,25,98,15,40,0,0
2001,27.985,13.6,31,36,0.6,25,98,15,40,0,0
2002,42.476,13.72222222,31,36,0.6,25,98,15,40,0,0
2003,59.745,13.84444444,31,36,0.6,25,98,15,40,0,0
2004,94.752,13.96666667,31,36,0.6,25,98,15,40,0,0
2005,88.66446,14.08888889,31,36,0.6,25,98,15,40,0,0
2006,82.0722,14.21111111,31,36,0.6,25,98,15,40,0,0
2007,244.10485,14.33333333,31,36,0.6,25,98,15,40,0,0
2008,210.66864,14.45555556,31,36,0.6,25,98,15,40,0,0
2009,252.73445,14.57777778,31,36,0.6,25,98,15,40,0,0
2010,290.9808252,14.7,31,36,0.3,25,98,15,40,0,0
2011,1452.481713,15.1,31,36,0.3,25,98,15,40,0,0
2012,2533.78102,15.4,31,36,0.3,25,98,15,40,0,0
2013,3003.40842,16,31,36,0.3,25,98,15,40,0,0
2014,1871.913125,16.3,31,36,0.3,25,98,15,40,0,0
2015,6080.770469,17,31,36,0.3,25,98,15,40,0,0
2016,11626.66193,17.5,31,36,0.3,25,98,15,40,0,0
2017,8437.424028,17.7,31,36,0.3,25,98,15,40,0,0
2018,7762.072626,18.4,31,36,0.3,25,98,15,40,0,0
2019,13385.89533,19.2,31,36,0.3,25,98,15,40,0,0
2020,70941.99706,20.25258849,40,44,0.5,35,98,15,40,0,0
2021,84566.78703,20.8948648,40,44,0.5,35,98,15,40,0,0
2022,98191.57699,21.36288232,40,44,0.5,35,98,15,40,0,0
2023,106978.9015,21.73311205,40,44,0.5,35,98,15,40,0,0
2024,115766.2259,22.0403697,40,44,0.5,35,98,15,40,0,0
2025,123406.3095,22.30353889,40,44,0.5,35,98,15,40,0,0
2026,131046.3931,22.53404502,40,44,0.5,35,98,15,40,0,0
2027,145568.2033,22.73934244,40,44,0.5,35,98,15,40,0,0
2028,160090.0136,22.92457161,40,44,0.5,35,98,15,40,0,0
2029,180415.0682,23.09343124,40,44,0.5,35,98,15,40,0,0
2030,200740.1229,23.24867384,40,44,0.5,35,98,15,40,0,0
2031,222941.5152,23.39240459,40,44,0.5,35,98,15,40,0,0
2032,245142.9076,23.52627057,40,44,0.5,35,98,15,40,0,0
2033,260168.1402,23.6515853,40,44,0.5,35,98,15,40,0,0
2034,275193.3728,23.76941358,40,44,0.5,35,98,15,40,0,0
2035,284698.6686,23.88063087,40,44,0.5,35,98,15,40,0,0
2036,294203.9645,23.98596588,40,44,0.5,35,98,15,40,0,0
2037,303420.3158,24.08603183,40,44,0.5,35,98,15,40,0,0
2038,312636.667,24.18134974,40,44,0.5,35,98,15,40,0,0
2039,336021.626,24.27236612,40,44,0.5,35,98,15,40,0,0
2040,359406.5849,24.35946665,40,44,0.5,35,98,15,40,0,0
2041,368759.5263,24.44298673,40,44,0.5,35,98,15,40,0,0
2042,378112.4676,24.52322,40,44,0.5,35,98,15,40,0,0
2043,396513.6079,24.60042496,40,44,0.5,35,98,15,40,0,0
2044,414914.7481,24.67483041,40,44,0.5,35,98,15,40,0,0
2045,429887.2997,24.74663989,40,44,0.5,35,98,15,40,0,0
2046,444859.8514,24.81603524,40,44,0.5,35,98,15,40,0,0
2047,465243.6912,24.88317962,40,44,0.5,35,98,15,40,0,0
2048,485627.531,24.94822001,40,44,0.5,35,98,15,40,0,0
2049,514197.2437,25.01128927,40,44,0.5,35,98,15,40,0,0
2050,542766.9563,25.07250791,40,44,0.5,35,98,15,40,0,0
