year,State,Type,New Installs
2018,AL,Rooftop_MW,4.652727
2019,AL,Rooftop_MW,7.016364
2020,AL,Rooftop_MW,2.363637
2021,AL,Rooftop_MW,9.192727
2022,AL,Rooftop_MW,2.176363
2023,AL,Rooftop_MW,11.049091
2024,AL,Rooftop_MW,1.856364
2025,AL,Rooftop_MW,14.317273
2026,AL,Rooftop_MW,3.268182
2027,AL,Rooftop_MW,21.692727
2028,AL,Rooftop_MW,7.375454
2029,AL,Rooftop_MW,41.026364
2030,AL,Rooftop_MW,19.333637
2031,AL,Rooftop_MW,88.374545
2032,AL,Rooftop_MW,47.348181
2033,AL,Rooftop_MW,171.964545
2034,AL,Rooftop_MW,83.59
2035,AL,Rooftop_MW,261.137273
2036,AL,Rooftop_MW,89.172728
2037,AL,Rooftop_MW,327.650909
2038,AL,Rooftop_MW,66.513636
2039,AL,Rooftop_MW,376.936364
2040,AL,Rooftop_MW,49.285455
2041,AL,Rooftop_MW,410.177273
2042,AL,Rooftop_MW,33.240909
2043,AL,Rooftop_MW,434.729091
2044,AL,Rooftop_MW,24.551818
2045,AL,Rooftop_MW,459.664545
2046,AL,Rooftop_MW,24.935454
2047,AL,Rooftop_MW,488.375455
2048,AL,Rooftop_MW,28.71091
2049,AL,Rooftop_MW,515.670909
2050,AL,Rooftop_MW,27.295454
2018,AR,Rooftop_MW,7.055455
2019,AR,Rooftop_MW,8.083636
2020,AR,Rooftop_MW,1.028181
2021,AR,Rooftop_MW,9.337273
2022,AR,Rooftop_MW,1.253637
2023,AR,Rooftop_MW,12.008182
2024,AR,Rooftop_MW,2.670909
2025,AR,Rooftop_MW,19.674545
2026,AR,Rooftop_MW,7.666363
2027,AR,Rooftop_MW,34.574545
2028,AR,Rooftop_MW,14.9
2029,AR,Rooftop_MW,64.138182
2030,AR,Rooftop_MW,29.563637
2031,AR,Rooftop_MW,125.916364
2032,AR,Rooftop_MW,61.778182
2033,AR,Rooftop_MW,247.391818
2034,AR,Rooftop_MW,121.475454
2035,AR,Rooftop_MW,423.96
2036,AR,Rooftop_MW,176.568182
2037,AR,Rooftop_MW,590.391818
2038,AR,Rooftop_MW,166.431818
2039,AR,Rooftop_MW,737.024545
2040,AR,Rooftop_MW,146.632727
2041,AR,Rooftop_MW,853.985455
2042,AR,Rooftop_MW,116.96091
2043,AR,Rooftop_MW,955.385455
2044,AR,Rooftop_MW,101.4
2045,AR,Rooftop_MW,1040.779091
2046,AR,Rooftop_MW,85.393636
2047,AR,Rooftop_MW,1098.899091
2048,AR,Rooftop_MW,58.12
2049,AR,Rooftop_MW,1143.287273
2050,AR,Rooftop_MW,44.388182
2018,AZ,Rooftop_MW,973.362727
2019,AZ,Rooftop_MW,1099.508182
2020,AZ,Rooftop_MW,126.145455
2021,AZ,Rooftop_MW,1210.559091
2022,AZ,Rooftop_MW,111.050909
2023,AZ,Rooftop_MW,1289.575455
2024,AZ,Rooftop_MW,79.016364
2025,AZ,Rooftop_MW,1362.913636
2026,AZ,Rooftop_MW,73.338181
2027,AZ,Rooftop_MW,1434.74
2028,AZ,Rooftop_MW,71.826364
2029,AZ,Rooftop_MW,1510.647273
2030,AZ,Rooftop_MW,75.907273
2031,AZ,Rooftop_MW,1576.040909
2032,AZ,Rooftop_MW,65.393636
2033,AZ,Rooftop_MW,1632.480909
2034,AZ,Rooftop_MW,56.44
2035,AZ,Rooftop_MW,1686.373636
2036,AZ,Rooftop_MW,53.892727
2037,AZ,Rooftop_MW,1744.119091
2038,AZ,Rooftop_MW,57.745455
2039,AZ,Rooftop_MW,1801.022727
2040,AZ,Rooftop_MW,56.903636
2041,AZ,Rooftop_MW,1840.933636
2042,AZ,Rooftop_MW,39.910909
2043,AZ,Rooftop_MW,1883.840909
2044,AZ,Rooftop_MW,42.907273
2045,AZ,Rooftop_MW,1922.661818
2046,AZ,Rooftop_MW,38.820909
2047,AZ,Rooftop_MW,1956.974545
2048,AZ,Rooftop_MW,34.312727
2049,AZ,Rooftop_MW,1992.2
2050,AZ,Rooftop_MW,35.225455
2018,CA,Rooftop_MW,6421.858182
2019,CA,Rooftop_MW,7096.261818
2020,CA,Rooftop_MW,674.403636
2021,CA,Rooftop_MW,7589.078182
2022,CA,Rooftop_MW,492.816364
2023,CA,Rooftop_MW,7938.292727
2024,CA,Rooftop_MW,349.214545
2025,CA,Rooftop_MW,8313.974545
2026,CA,Rooftop_MW,375.681818
2027,CA,Rooftop_MW,8734.727273
2028,CA,Rooftop_MW,420.752728
2029,CA,Rooftop_MW,9219.642727
2030,CA,Rooftop_MW,484.915454
2031,CA,Rooftop_MW,9599.195455
2032,CA,Rooftop_MW,379.552728
2033,CA,Rooftop_MW,9904.621818
2034,CA,Rooftop_MW,305.426363
2035,CA,Rooftop_MW,10192.64818
2036,CA,Rooftop_MW,288.026362
2037,CA,Rooftop_MW,10433.98727
2038,CA,Rooftop_MW,241.33909
2039,CA,Rooftop_MW,10643.59091
2040,CA,Rooftop_MW,209.60364
2041,CA,Rooftop_MW,10774.69273
2042,CA,Rooftop_MW,131.10182
2043,CA,Rooftop_MW,10898.92091
2044,CA,Rooftop_MW,124.22818
2045,CA,Rooftop_MW,11008.7
2046,CA,Rooftop_MW,109.77909
2047,CA,Rooftop_MW,11120.95727
2048,CA,Rooftop_MW,112.25727
2049,CA,Rooftop_MW,11226.12091
2050,CA,Rooftop_MW,105.16364
2018,CO,Rooftop_MW,407.304545
2019,CO,Rooftop_MW,479.64
2020,CO,Rooftop_MW,72.335455
2021,CO,Rooftop_MW,538.553636
2022,CO,Rooftop_MW,58.913636
2023,CO,Rooftop_MW,579.227273
2024,CO,Rooftop_MW,40.673637
2025,CO,Rooftop_MW,629.989091
2026,CO,Rooftop_MW,50.761818
2027,CO,Rooftop_MW,689.447273
2028,CO,Rooftop_MW,59.458182
2029,CO,Rooftop_MW,756.89
2030,CO,Rooftop_MW,67.442727
2031,CO,Rooftop_MW,820.203636
2032,CO,Rooftop_MW,63.313636
2033,CO,Rooftop_MW,879.146364
2034,CO,Rooftop_MW,58.942728
2035,CO,Rooftop_MW,937.991818
2036,CO,Rooftop_MW,58.845454
2037,CO,Rooftop_MW,999.853636
2038,CO,Rooftop_MW,61.861818
2039,CO,Rooftop_MW,1066.048182
2040,CO,Rooftop_MW,66.194546
2041,CO,Rooftop_MW,1121.533636
2042,CO,Rooftop_MW,55.485454
2043,CO,Rooftop_MW,1179.516364
2044,CO,Rooftop_MW,57.982728
2045,CO,Rooftop_MW,1236.07
2046,CO,Rooftop_MW,56.553636
2047,CO,Rooftop_MW,1289.373636
2048,CO,Rooftop_MW,53.303636
2049,CO,Rooftop_MW,1342.179091
2050,CO,Rooftop_MW,52.805455
2018,CT,Rooftop_MW,388.016364
2019,CT,Rooftop_MW,540.040909
2020,CT,Rooftop_MW,152.024545
2021,CT,Rooftop_MW,686.428182
2022,CT,Rooftop_MW,146.387273
2023,CT,Rooftop_MW,794.763636
2024,CT,Rooftop_MW,108.335454
2025,CT,Rooftop_MW,899.607273
2026,CT,Rooftop_MW,104.843637
2027,CT,Rooftop_MW,1091.023636
2028,CT,Rooftop_MW,191.416363
2029,CT,Rooftop_MW,1285.253636
2030,CT,Rooftop_MW,194.23
2031,CT,Rooftop_MW,1447.608182
2032,CT,Rooftop_MW,162.354546
2033,CT,Rooftop_MW,1561.016364
2034,CT,Rooftop_MW,113.408182
2035,CT,Rooftop_MW,1583.280909
2036,CT,Rooftop_MW,22.264545
2037,CT,Rooftop_MW,1600.398182
2038,CT,Rooftop_MW,17.117273
2039,CT,Rooftop_MW,1624.753636
2040,CT,Rooftop_MW,24.355454
2041,CT,Rooftop_MW,1628.03
2042,CT,Rooftop_MW,3.276364
2043,CT,Rooftop_MW,1628.31
2044,CT,Rooftop_MW,0.28
2045,CT,Rooftop_MW,1631.352727
2046,CT,Rooftop_MW,3.042727
2047,CT,Rooftop_MW,1632.019091
2048,CT,Rooftop_MW,0.666364
2049,CT,Rooftop_MW,1632.619091
2050,CT,Rooftop_MW,0.6
2018,DE,Rooftop_MW,65.81
2019,DE,Rooftop_MW,94.973636
2020,DE,Rooftop_MW,29.163636
2021,DE,Rooftop_MW,128.08
2022,DE,Rooftop_MW,33.106364
2023,DE,Rooftop_MW,157.249091
2024,DE,Rooftop_MW,29.169091
2025,DE,Rooftop_MW,191.456364
2026,DE,Rooftop_MW,34.207273
2027,DE,Rooftop_MW,225.160909
2028,DE,Rooftop_MW,33.704545
2029,DE,Rooftop_MW,264.176364
2030,DE,Rooftop_MW,39.015455
2031,DE,Rooftop_MW,296.299091
2032,DE,Rooftop_MW,32.122727
2033,DE,Rooftop_MW,300.724545
2034,DE,Rooftop_MW,4.425454
2035,DE,Rooftop_MW,305.078182
2036,DE,Rooftop_MW,4.353637
2037,DE,Rooftop_MW,309.941818
2038,DE,Rooftop_MW,4.863636
2039,DE,Rooftop_MW,314.266364
2040,DE,Rooftop_MW,4.324546
2041,DE,Rooftop_MW,316.766364
2042,DE,Rooftop_MW,2.5
2043,DE,Rooftop_MW,319.669091
2044,DE,Rooftop_MW,2.902727
2045,DE,Rooftop_MW,323.058182
2046,DE,Rooftop_MW,3.389091
2047,DE,Rooftop_MW,327.88
2048,DE,Rooftop_MW,4.821818
2049,DE,Rooftop_MW,331.363636
2050,DE,Rooftop_MW,3.483636
2018,FL,Rooftop_MW,207.962727
2019,FL,Rooftop_MW,390.880909
2020,FL,Rooftop_MW,182.918182
2021,FL,Rooftop_MW,675.023636
2022,FL,Rooftop_MW,284.142727
2023,FL,Rooftop_MW,1056.512727
2024,FL,Rooftop_MW,381.489091
2025,FL,Rooftop_MW,1649.045455
2026,FL,Rooftop_MW,592.532728
2027,FL,Rooftop_MW,2452.67
2028,FL,Rooftop_MW,803.624545
2029,FL,Rooftop_MW,3403.261818
2030,FL,Rooftop_MW,950.591818
2031,FL,Rooftop_MW,4298.882727
2032,FL,Rooftop_MW,895.620909
2033,FL,Rooftop_MW,5095.56
2034,FL,Rooftop_MW,796.677273
2035,FL,Rooftop_MW,5845.128182
2036,FL,Rooftop_MW,749.568182
2037,FL,Rooftop_MW,6532.345455
2038,FL,Rooftop_MW,687.217273
2039,FL,Rooftop_MW,7167.618182
2040,FL,Rooftop_MW,635.272727
2041,FL,Rooftop_MW,7584.181818
2042,FL,Rooftop_MW,416.563636
2043,FL,Rooftop_MW,7962.465455
2044,FL,Rooftop_MW,378.283637
2045,FL,Rooftop_MW,8358.959091
2046,FL,Rooftop_MW,396.493636
2047,FL,Rooftop_MW,8830.384545
2048,FL,Rooftop_MW,471.425454
2049,FL,Rooftop_MW,9194.271818
2050,FL,Rooftop_MW,363.887273
2018,GA,Rooftop_MW,38.790909
2019,GA,Rooftop_MW,50.38
2020,GA,Rooftop_MW,11.589091
2021,GA,Rooftop_MW,58.447273
2022,GA,Rooftop_MW,8.067273
2023,GA,Rooftop_MW,66.637273
2024,GA,Rooftop_MW,8.19
2025,GA,Rooftop_MW,79.680909
2026,GA,Rooftop_MW,13.043636
2027,GA,Rooftop_MW,99.078182
2028,GA,Rooftop_MW,19.397273
2029,GA,Rooftop_MW,126.423636
2030,GA,Rooftop_MW,27.345454
2031,GA,Rooftop_MW,160.254545
2032,GA,Rooftop_MW,33.830909
2033,GA,Rooftop_MW,180.591818
2034,GA,Rooftop_MW,20.337273
2035,GA,Rooftop_MW,205.067273
2036,GA,Rooftop_MW,24.475455
2037,GA,Rooftop_MW,233.707273
2038,GA,Rooftop_MW,28.64
2039,GA,Rooftop_MW,267.588182
2040,GA,Rooftop_MW,33.880909
2041,GA,Rooftop_MW,305.621818
2042,GA,Rooftop_MW,38.033636
2043,GA,Rooftop_MW,350.078182
2044,GA,Rooftop_MW,44.456364
2045,GA,Rooftop_MW,402.595455
2046,GA,Rooftop_MW,52.517273
2047,GA,Rooftop_MW,466.157273
