@states,@scenario|Module Composition Scenario,@timeseries|Year,@value|NewInstalledCapacity|PV#MW,@value|CumulativeNewInstalledCapacity|PV#MW,@value|InstalledCapacity|PV#MW,@value|CumulativeEOLMaterial|Module#MetricTonnes
AL,Today,2018,205.0182997,205.0182997,206.1325296,0
AL,Today,2019,2.210000595,207.2283003,207.2398107,2.04E-07
AL,Today,2020,2.210000595,209.4383009,208.8341576,3.25E-05
AL,Today,2021,4.017779915,213.4560808,212.2404026,0.000658288
AL,Today,2022,4.017779915,217.4738607,215.6286368,0.005782718
AL,Today,2023,1.73570034,219.2095611,216.7058265,0.031970295
AL,Today,2024,1.73570034,220.9452614,217.7743069,0.13127688
AL,Today,2025,3.05575017,224.0010116,220.158428,0.437775306
AL,Today,2026,3.05575017,227.0567617,222.520858,1.251361382
AL,Today,2027,780.2028867,1007.259648,1005.414926,3.175997013
AL,Today,2028,780.2028867,1787.462535,1784.810605,7.333083749
AL,Today,2029,1551.12051,3338.583045,3334.491401,15.67369399
AL,Today,2030,1551.12051,4889.703555,4876.802785,31.41482809
AL,Today,2031,1696.67055,6586.374105,6557.354394,59.62238722
AL,Today,2032,1696.67055,8283.044655,8229.251551,107.9525932
AL,Today,2033,78.15665,8361.201305,8266.878519,187.5359515
AL,Today,2034,78.15665,8439.357955,8302.23978,313.9302027
AL,Today,2035,83.37650068,8522.734456,8341.470605,507.9620981
AL,Today,2036,83.37650068,8606.110957,8378.852088,796.101413
AL,Today,2037,62.19024966,8668.301206,8392.569295,1209.755717
AL,Today,2038,62.19024966,8730.491456,8403.415361,1782.579535
AL,Today,2039,46.08190043,8776.573356,8394.732164,2544.707054
AL,Today,2040,46.08190043,8822.655257,8382.495214,3513.088481
AL,Today,2041,31.08024992,8853.735507,8351.849284,4678.395098
AL,Today,2042,31.08024992,8884.815757,8318.79461,5991.771531
AL,Today,2043,22.95594983,8907.771706,8276.840739,7358.696261
AL,Today,2044,22.95594983,8930.727656,8236.410811,8649.798184
