@scenario|Reliability Approach,@timeseries|Year,@value|VirginMaterialDemand|Glass#MetricTonnes,@value|VirginMaterialDemand|AluminiumFrames#MetricTonnes,@value|VirginMaterialDemand|Silver#MetricTonnes,@value|VirginMaterialDemand|Silicon#MetricTonnes,@value|VirginMaterialDemand|Copper#MetricTonnes,@value|EOLMaterial|Glass#MetricTonnes,@value|EOLMaterial|AluminiumFrames#MetricTonnes,@value|EOLMaterial|Silver#MetricTonnes,@value|EOLMaterial|Silicon#MetricTonnes,@value|EOLMaterial|Copper#MetricTonnes,@value|ManufacturingScrap|Glass#MetricTonnes,@value|ManufacturingScrap|AluminiumFrames#MetricTonnes,@value|ManufacturingScrap|Silver#MetricTonnes,@value|ManufacturingScrap|Silicon#MetricTonnes,@value|ManufacturingScrap|Copper#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|Glass#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|AluminiumFrames#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|Silver#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|Silicon#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|Copper#MetricTonnes,@value|NewInstalledCapacity|PV#MW,@value|InstalledCapacity|PV#MW
PV ICE,2020,3961800.095,660604.517,2942.747171,332478.9096,3325.76395,21254.79512,6091.616826,118.1445616,1735.918342,14.59779081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV ICE,2030,17035538.89,1953040.33,6732.84563,948265.1549,13882.60479,181885.8429,44198.85658,440.626818,10499.18188,126.1066529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV ICE,2040,32858683.51,3136595.087,9998.257247,1587125.701,24560.55349,1704299.302,324659.4585,1442.909151,88009.74137,1311.76184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV ICE,2050,50657160.27,4462250.268,13671.42694,2305761.963,36571.87767,5431042.884,860333.4886,2971.413498,248687.8688,4648.783661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena EL,2020,3724058.116,652060.2691,2392.986595,182909.7423,3039.477302,112407.0544,26383.43943,251.2428376,6583.232863,78.1446869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena EL,2030,16296242.76,1921121.948,5466.022052,599705.3075,12692.24241,2061277.261,361412.9007,1497.433483,100378.4567,1671.588734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena EL,2040,31649778.24,3072508.961,8113.638148,1047982.458,22455.74382,10107133.84,1327132.037,4115.850378,404323.9744,8292.168846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena EL,2050,48919241.96,4365489.724,11091.86703,1552236.818,33438.43198,24051709.37,2497851.69,6887.098096,833165.8371,17943.78151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena RL,2020,3724085.987,652687.5568,2392.986595,182909.7423,3039.477302,7201.902728,2118.354669,43.52204915,598.9386125,4.944650226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena RL,2030,16296722.19,1929064.664,5466.022052,599705.3075,12692.24241,251582.6123,54168.48036,404.5876785,13836.97928,182.8512427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena RL,2040,31651588.15,3092766.52,8113.638148,1047982.458,22455.74382,3275292.899,543518.175,2056.280359,154076.3481,2697.116707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena RL,2050,48922096.71,4387769.59,11091.86703,1552236.818,33438.43198,13275934.31,1636009.904,4877.851899,509184.4211,10701.68686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV ICE with MFG Scrap,2020,,,,,,165035.7414,14111.29158,169.8990013,121391.2522,30.70081749,,,,,,,,,,,,
PV ICE with MFG Scrap,2030,,,,,,628739.61,67916.79388,558.8434888,289347.0598,193.3496351,,,,,,,,,,,,
PV ICE with MFG Scrap,2040,,,,,,2434145.572,362830.2086,1618.387274,519324.3359,1430.731455,,,,,,,,,,,,
PV ICE with MFG Scrap,2050,,,,,,6479219.461,914761.8013,3211.303418,851507.9849,4825.939108,,,,,,,,,,,,
