@scenario|Module Composition Scenario,@timeseries|Year,@value|InstalledCapacity|PV ICE Bifacial Reduced Installs#MW,@value|InstalledCapacity|PV ICE Bifacial#MW,@value|InstalledCapacity|Irena EL#MW,@value|InstalledCapacity|Irena RL#MW,@value|InstalledCapacity|Cumulative New Installs#MW
Bifacial Projection,1995,12.6,12.6,12.6,12.6,12.5
Bifacial Projection,1996,22.24374817,22.24374817,22.24116682,22.24378988,22.16766667
Bifacial Projection,1997,33.81018778,33.81018778,33.79186661,33.81114342,33.78966667
Bifacial Projection,1998,45.46364885,45.46364885,45.39775117,45.4705165,45.57066667
Bifacial Projection,1999,62.17807618,62.17807618,62.00761253,62.20741912,62.45533334
Bifacial Projection,2000,82.82050656,82.82050656,82.45951119,82.91287699,83.38200001
Bifacial Projection,2001,110.3670457,110.3670457,109.6984315,110.6046184,111.367
Bifacial Projection,2002,152.1843924,152.1843924,151.0587559,152.7131128,153.843
Bifacial Projection,2003,210.8806248,210.8806248,209.1115272,211.934363,213.588
Bifacial Projection,2004,304.097819,304.097819,301.4441826,306.018888,308.34
Bifacial Projection,2005,398.0623996,398.0623996,394.1825022,401.3086453,404.9211732
Bifacial Projection,2006,492.4896931,492.4896931,486.8514827,497.615357,503.1342448
Bifacial Projection,2007,813.2520758,813.2520758,805.0049572,820.8533655,827.3669932
Bifacial Projection,2008,1121.44355,1121.44355,1109.223,1132.077869,1141.952102
Bifacial Projection,2009,1544.575678,1544.575678,1526.21999,1558.697146,1573.196906
Bifacial Projection,2010,2252.841661,2252.841661,2227.218157,2272.907935,2293.041343
Bifacial Projection,2011,4025.614703,4025.614703,3986.74094,4050.617232,4074.418421
Bifacial Projection,2012,7073.446991,7073.446991,7020.339487,7109.562391,7138.580702
Bifacial Projection,2013,11084.45382,11084.45382,11007.20702,11132.83512,11176.02982
Bifacial Projection,2014,14757.02401,14757.02401,14642.80573,14822.72658,14898.2293
Bifacial Projection,2015,21555.63788,21563.88458,21367.87132,21630.71492,21732.55811
Bifacial Projection,2016,34414.24409,34438.00592,34114.60505,34504.6377,34630.22406
Bifacial Projection,2017,44076.46096,44111.91874,43604.63589,44189.59622,44414.73028
Bifacial Projection,2018,53268.76868,53326.65407,52530.88209,53412.9802,53767.25973
Bifacial Projection,2019,64024.95901,64111.232,62881.1312,64207.80058,64717.04207
Bifacial Projection,2020,78250.09359,78519.32084,76503.2696,78477.07113,79171.81247
Bifacial Projection,2021,107542,108411,104926,107814,108687.0735
Bifacial Projection,2022,136673,138233,132836,136981,138202.3344
Bifacial Projection,2023,154968,157026,149455,155292,157092.8471
Bifacial Projection,2024,173143,175739,165384,173453,175983.3597
Bifacial Projection,2025,188530,191623,177831,188782,192222.2395
Bifacial Projection,2026,203792,207409,189337,203920,208461.1193
Bifacial Projection,2027,234017,238740,214884,233938,239744.2788
Bifacial Projection,2028,264005,269914,239180,263600,271027.4384
Bifacial Projection,2029,306425,314121,274838,305550,314978.7098
Bifacial Projection,2030,348459,358013,308992,346920,358929.9813
Bifacial Projection,2031,394215,405887,345730,391771,407035.2856
Bifacial Projection,2032,439454,453233,380796,435791,455140.5899
Bifacial Projection,2033,468208,483370,398212,462929,487398.2173
Bifacial Projection,2034,496401,512938,413908,489028,519655.8447
Bifacial Projection,2035,511730,529086,415598,501703,539711.6875
Bifacial Projection,2036,526417,544585,415560,513122,559767.5304
Bifacial Projection,2037,539613,558553,413034,522407,579061.2285
Bifacial Projection,2038,552004,571709,408812,530221,598354.9266
Bifacial Projection,2039,595036,616909,434435,567965,649001.3543
Bifacial Projection,2040,637175,661201,458389,603973,699647.7819
Bifacial Projection,2041,647653,672431,449855,607274,719508.151
Bifacial Projection,2042,657743,683258,440026,608902,739368.5201
Bifacial Projection,2043,687841,714982,449286,629060,779306.3041
Bifacial Projection,2044,717911,746655,457631,647542,819244.0881
Bifacial Projection,2045,740281,770261,457738,656810,851645.0025
Bifacial Projection,2046,762300,793482,457468,664515,884045.9168
Bifacial Projection,2047,795754,828642,469153,682783,928477.8565
Bifacial Projection,2048,828014,862563,480861,699504,972909.7962
Bifacial Projection,2049,876957,913932,510922,732888,1035487.696
Bifacial Projection,2050,924369,963717,541076,764661,1098065.596
