@scenario|Reliability Approach,@timeseries|Year,@value|VirginMaterialDemand|Glass#MetricTonnes,@value|VirginMaterialDemand|AluminiumFrames#MetricTonnes,@value|VirginMaterialDemand|Silver#MetricTonnes,@value|VirginMaterialDemand|Silicon#MetricTonnes,@value|VirginMaterialDemand|Copper#MetricTonnes,@value|EOLMaterial|Glass#MetricTonnes,@value|EOLMaterial|AluminiumFrames#MetricTonnes,@value|EOLMaterial|Silver#MetricTonnes,@value|EOLMaterial|Silicon#MetricTonnes,@value|EOLMaterial|Copper#MetricTonnes,@value|ManufacturingScrap|Glass#MetricTonnes,@value|ManufacturingScrap|AluminiumFrames#MetricTonnes,@value|ManufacturingScrap|Silver#MetricTonnes,@value|ManufacturingScrap|Silicon#MetricTonnes,@value|ManufacturingScrap|Copper#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|Glass#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|AluminiumFrames#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|Silver#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|Silicon#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|Copper#MetricTonnes,@value|NewInstalledCapacity|PV#MW,@value|InstalledCapacity|PV#MW
PV ICE,2020,3961800.095,662669.9984,2942.747171,332478.9096,3325.76395,21254.79512,6091.616826,118.1445616,1735.918342,14.59779081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV ICE,2030,15636389.29,2362315.365,6732.84563,948265.1549,13882.60479,181885.1026,44199.25485,440.626818,10499.18188,126.1066529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV ICE,2040,28827604.09,4295009.613,9998.257247,1587125.701,24560.55349,1702874.52,325246.7975,1442.909151,88009.74137,1311.76184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV ICE,2050,43665518.94,6462562.265,13671.42694,2305761.963,36571.87767,5345274.099,892081.187,2971.413498,248687.8688,4648.783661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena EL,2020,3724058.116,654100.6817,2392.986595,182909.7423,3039.477302,112407.0544,26383.43943,251.2428376,6583.232863,78.1446869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena EL,2030,14945800.97,2325265.007,5466.022052,599705.3075,12692.24241,2044873.723,367780.4544,1497.433483,100378.4567,1671.588734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena EL,2040,27745383.34,4212101.574,8113.638148,1047982.458,22455.74382,9507659.48,1511927.171,4115.850378,404323.9744,8292.168846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena EL,2050,42142353.18,6322033.407,11091.86703,1552236.818,33438.43198,21376533.95,3283156.443,6887.098096,833165.8371,17943.78151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena RL,2020,3724085.987,654727.9695,2392.986595,182909.7423,3039.477302,7201.902728,2118.354669,43.52204915,598.9386125,4.944650226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena RL,2030,14946276.1,2333370.097,5466.022052,599705.3075,12692.24241,251393.8235,54254.98591,404.5876785,13836.97928,182.8512427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena RL,2040,27747047.51,4236687.907,8113.638148,1047982.458,22455.74382,3225947.647,560865.378,2056.280359,154076.3481,2697.116707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irena RL,2050,42144756.3,6357009.459,11091.86703,1552236.818,33438.43198,12305482,1930193.922,4877.851899,509184.4211,10701.68686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV ICE with MFG Scrap,2020,,,,,,165035.7414,14136.36035,169.8990013,121391.2522,30.70081749,,,,,,,,,,,,
PV ICE with MFG Scrap,2030,,,,,,599281.1347,72884.56736,558.8434888,289347.0598,193.3496351,,,,,,,,,,,,
PV ICE with MFG Scrap,2040,,,,,,2356192.921,377477.4203,1618.387274,519324.3359,1430.731455,,,,,,,,,,,,
PV ICE with MFG Scrap,2050,,,,,,6263974.938,970797.267,3211.303418,851507.9849,4825.939108,,,,,,,,,,,,
