@scenario|Module Composition Scenario,@timeseries|Year,@value|TotalVirginMaterialDemand|PV ICE Bifacial Reduced Installs#MetricTonnes,@value|TotalVirginMaterialDemand|PV ICE Bifacial#MetricTonnes,@value|TotalVirginMaterialDemand|PV ICE#MetricTonnes,@value|TotalVirginMaterialDemand|Irena EL#MetricTonnes,@value|TotalVirginMaterialDemand|Irena RL#MetricTonnes,@value|TotalEOLMaterial|PV ICE Bifacial Reduced Installs#MetricTonnes,@value|TotalEOLMaterial|PV ICE Bifacial#MetricTonnes,@value|TotalEOLMaterial|PV ICE#MetricTonnes,@value|TotalEOLMaterial|Irena EL#MetricTonnes,@value|TotalEOLMaterial|Irena RL#MetricTonnes,@value|ManufacturingScrap|PV ICE Bifacial Reduced Installs#MetricTonnes,@value|ManufacturingScrap|PV ICE Bifacial#MetricTonnes,@value|ManufacturingScrap|PV ICE#MetricTonnes,@value|ManufacturingScrap|Irena EL#MetricTonnes,@value|ManufacturingScrap|Irena RL#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|PV ICE Bifacial Reduced Installs#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|PV ICE Bifacial#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|PV ICE#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|Irena EL#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|Irena RL#MetricTonnes,@value|NewInstalledCapacity|PV ICE Bifacial Reduced Installs#MW,@value|NewInstalledCapacity|PV ICE Bifacial#MW,@value|NewInstalledCapacity|PV ICE#MW,@value|NewInstalledCapacity|Irena EL#MW,@value|NewInstalledCapacity|Irena RL#MW,@value|Installed Capacity|PV ICE Bifacial Reduced Installs#MW,@value|Installed Capacity|PV ICE Bifacial#MW,@value|Installed Capacity|Cumulative New Installs#MW,@value|InstalledCapacity|PV ICE#MW,@value|InstalledCapacity|Irena EL#MW,@value|InstalledCapacity|Irena RL#MW
Today,1995,NA,NA,1356.206388,1203.298284,1203.298284,NA,NA,0,0,0,NA,NA,110.209761,0,0,NA,NA,110.209761,0,0,NA,NA,12.5,12.5,12.5,NA,NA,12.5,12.6,12.6,12.6
Today,1996,NA,NA,2380.008889,2112.144791,2112.146469,NA,NA,0.00394234,0.247088028,1.35E-05,NA,NA,192.976052,0,0,NA,NA,192.9799943,0.247088028,1.35E-05,NA,NA,22.16766667,22.16766667,22.16766667,NA,NA,22.16766667,34.84374817,34.84116682,34.84378988
Today,1997,NA,NA,3561.139562,3158.986571,3158.998914,NA,NA,0.091008148,1.820835491,0.000583925,NA,NA,289.4747087,1.19E-13,1.19E-13,NA,NA,289.5657169,1.820835491,0.000583925,NA,NA,33.78966667,33.78966667,33.78966667,NA,NA,33.78966667,68.65393595,68.63303343,68.6549333
Today,1998,NA,NA,4723.908236,4189.291748,4189.338188,NA,NA,0.658075768,6.882105297,0.005973657,NA,NA,384.5122401,1.50E-13,1.50E-13,NA,NA,385.1703159,6.882105297,0.005973657,NA,NA,45.57066667,45.57066667,45.57066667,NA,NA,45.57066667,114.1175848,114.0307846,114.1254498
Today,1999,NA,NA,6355.686284,5636.171027,5636.297721,NA,NA,2.830367874,18.90678817,0.033478861,NA,NA,517.0061838,1.50E-13,1.50E-13,NA,NA,519.8365517,18.90678817,0.033478861,NA,NA,62.45533334,62.45533334,62.45533334,NA,NA,62.45533334,176.295661,176.0383971,176.3328689
Today,2000,NA,NA,8332.136493,7390.285702,7390.570736,NA,NA,8.97489758,42.90484039,0.133061132,NA,NA,676.6603622,1.50E-13,1.50E-13,NA,NA,685.6352598,42.90484039,0.133061132,NA,NA,83.38200001,83.38200001,83.38200001,NA,NA,83.38200001,259.1161675,258.4979083,259.2457459
Today,2001,NA,NA,10922.98923,9691.497631,9692.061636,NA,NA,23.26550587,85.74446965,0.422262459,NA,NA,884.3608931,1.50E-13,1.50E-13,NA,NA,907.626399,85.74446965,0.422262459,NA,NA,111.367,111.367,111.367,NA,NA,111.367,369.4832132,368.1963398,369.8503643
Today,2002,NA,NA,14795.63921,13134.13149,13135.14945,NA,NA,52.21603649,156.4791171,1.142545377,NA,NA,1192.339002,1.50E-13,1.50E-13,NA,NA,1244.555039,156.4791171,1.142545377,NA,NA,153.843,153.843,153.843,NA,NA,153.843,521.6676056,519.2550957,522.5634771
Today,2003,NA,NA,20166.98065,17913.80675,17915.5216,NA,NA,105.0071072,266.8353593,2.744708,NA,NA,1615.562804,1.50E-13,1.50E-13,NA,NA,1720.569911,266.8353593,2.744708,NA,NA,213.588,213.588,213.588,NA,NA,213.588,732.5482304,728.3666229,734.4978401
Today,2004,NA,NA,28556.11927,25373.06737,25375.80668,NA,NA,193.2948113,432.0059981,6.012974946,NA,NA,2280.89596,1.50E-13,1.50E-13,NA,NA,2474.190771,432.0059981,6.012974946,NA,NA,308.34,308.34,308.34,NA,NA,308.34,1036.646049,1029.810806,1040.516728
Today,2005,NA,NA,36921.48786,32731.12382,32735.3216,NA,NA,330.0748895,671.9011475,12.24016098,NA,NA,3007.252026,9.02E-14,9.02E-14,NA,NA,3337.326915,671.9011475,12.24016098,NA,NA,404.9211732,404.9211732,404.9211732,NA,NA,404.9211732,1434.708449,1423.993308,1441.825373
Today,2006,NA,NA,45320.75198,40045.59482,40051.81854,NA,NA,527.2690928,1012.593394,23.46990606,NA,NA,3794.980735,1.28E-12,1.28E-12,NA,NA,4322.249828,1012.593394,23.46990606,NA,NA,503.1342448,503.1342448,503.1342448,NA,NA,503.1342448,1927.198142,1910.84479,1939.44073
Today,2007,NA,NA,72708.1935,63868.29735,63877.27338,NA,NA,792.33989,1486.668555,42.82552493,NA,NA,6386.308606,1.28E-12,1.28E-12,NA,NA,7178.648496,1486.668555,42.82552493,NA,NA,827.3669932,827.3669932,827.3669932,NA,NA,827.3669932,2740.450218,2715.849748,2760.294096
Today,2008,NA,NA,98955.44634,86670.61016,86683.26159,NA,NA,1125.645607,2136.318127,74.9440759,NA,NA,8891.77826,1.28E-12,1.28E-12,NA,NA,10017.42387,2136.318127,74.9440759,NA,NA,1141.952102,1141.952102,1141.952102,NA,NA,1141.952102,3861.893768,3825.072748,3892.371965
Today,2009,NA,NA,134502.7594,117583.3855,117600.9065,NA,NA,1521.881921,3021.165376,126.5329576,NA,NA,12259.50155,1.28E-12,1.28E-12,NA,NA,13781.38347,3021.165376,126.5329576,NA,NA,1573.196906,1573.196906,1573.196906,NA,NA,1573.196906,5406.469446,5351.292738,5451.069111
Today,2010,NA,NA,190752.8365,168622.1047,168646.0554,NA,NA,2190.606544,4223.23739,207.0757906,NA,NA,15877.04537,1.28E-12,1.28E-12,NA,NA,18067.65191,4223.23739,207.0757906,NA,NA,2293.041343,2293.041343,2293.041343,NA,NA,2293.041343,7659.311107,7578.510895,7723.977046
Today,2011,NA,NA,325929.5655,291320.96,291353.4058,NA,NA,2781.701017,5856.789631,329.7164739,NA,NA,24534.8285,2.04E-11,2.04E-11,NA,NA,27316.52951,5856.789631,329.7164739,NA,NA,4074.418421,4074.418421,4074.418421,NA,NA,4074.418421,11684.92581,11565.25183,11774.59428
Today,2012,NA,NA,555865.7713,499747.1405,499790.9263,NA,NA,3994.360798,8096.032371,512.3527097,NA,NA,39494.93642,2.04E-11,2.04E-11,NA,NA,43489.29721,8096.032371,512.3527097,NA,NA,7138.580702,7138.580702,7138.580702,NA,NA,7138.580702,18758.3728,18585.59132,18884.15667
Today,2013,NA,NA,840224.4341,757364.8097,757424.1389,NA,NA,5356.914815,11237.05656,779.0158891,NA,NA,57993.16573,2.04E-11,2.04E-11,NA,NA,63350.08054,11237.05656,779.0158891,NA,NA,11176.02982,11176.02982,11176.02982,NA,NA,11176.02982,29842.82661,29592.79834,30016.99179
Today,2014,NA,NA,1099668.837,992898.08,992979.4444,NA,NA,7253.646455,15777.56568,1161.768296,NA,NA,74537.40475,2.04E-11,2.04E-11,NA,NA,81791.0512,15777.56568,1161.768296,NA,NA,14898.2293,14898.2293,14898.2293,NA,NA,14898.2293,44599.85062,44235.60407,44839.71837
Today,2015,NA,NA,1548173.78,1400929.949,1401043.247,NA,NA,8549.94069,22477.43853,1703.61143,NA,NA,102609.3178,2.04E-11,2.04E-11,NA,NA,111159.2585,22477.43853,1703.61143,NA,NA,21732.55811,21732.55811,21732.55811,NA,NA,21732.55811,66155.53401,65603.47539,66470.43329
Today,2016,NA,NA,2354281.869,2137957.269,2138117.081,NA,NA,10549.04378,32417.11142,2463.184861,NA,NA,150301.8915,2.04E-11,2.04E-11,NA,NA,160850.9353,32417.11142,2463.184861,NA,NA,34630.22406,34630.22406,34630.22406,NA,NA,34630.22406,100569.8615,99718.08044,100975.071
